instance,n,prob,num_type,value
10-28,20,0.3,orig_simpl_obj,2092
10-29,20,0.3,orig_minAB_obj,2946
10-29,20,0.3,orig_simpl_obj,3484
10-30,20,0.3,orig_minAB_obj,2653
10-30,20,0.3,orig_simpl_obj,3034
10-31,20,0.3,orig_minAB_obj,2552
10-31,20,0.3,orig_simpl_obj,3157
11-0,20,0.3,orig_minAB_obj,2005
11-0,20,0.3,orig_simpl_obj,1672
11-1,20,0.3,orig_minAB_obj,2304
11-1,20,0.3,orig_simpl_obj,2695
11-2,20,0.3,orig_minAB_obj,2335
11-2,20,0.3,orig_simpl_obj,2188
11-3,20,0.3,orig_minAB_obj,2815
11-3,20,0.3,orig_simpl_obj,3095
11-4,20,0.3,orig_minAB_obj,2760
11-4,20,0.3,orig_simpl_obj,2803
11-5,20,0.3,orig_minAB_obj,1966
11-5,20,0.3,orig_simpl_obj,2780
11-6,20,0.3,orig_minAB_obj,3758
11-6,20,0.3,orig_simpl_obj,3443
11-7,20,0.3,orig_minAB_obj,1775
11-7,20,0.3,orig_simpl_obj,1763
11-8,20,0.3,orig_minAB_obj,2995
11-8,20,0.3,orig_simpl_obj,2952
11-9,20,0.3,orig_minAB_obj,1891
11-9,20,0.3,orig_simpl_obj,2324
11-10,20,0.3,orig_minAB_obj,3082
11-10,20,0.3,orig_simpl_obj,2912
11-11,20,0.3,orig_minAB_obj,2531
11-11,20,0.3,orig_simpl_obj,4148
11-12,20,0.3,orig_minAB_obj,2019
11-12,20,0.3,orig_simpl_obj,1993
11-13,20,0.3,orig_minAB_obj,3103
11-13,20,0.3,orig_simpl_obj,3720
11-14,20,0.3,orig_minAB_obj,3784
11-14,20,0.3,orig_simpl_obj,4312
11-15,20,0.3,orig_minAB_obj,1884
11-15,20,0.3,orig_simpl_obj,2326
11-16,20,0.3,orig_minAB_obj,2495
11-16,20,0.3,orig_simpl_obj,2580
11-17,20,0.3,orig_minAB_obj,2001
11-17,20,0.3,orig_simpl_obj,2431
11-18,20,0.3,orig_minAB_obj,2286
11-18,20,0.3,orig_simpl_obj,3127
11-19,20,0.3,orig_minAB_obj,1970
11-19,20,0.3,orig_simpl_obj,2298
11-20,20,0.3,orig_minAB_obj,3099
11-20,20,0.3,orig_simpl_obj,3230
11-21,20,0.3,orig_minAB_obj,4202
11-21,20,0.3,orig_simpl_obj,4471
11-22,20,0.3,orig_minAB_obj,1883
11-22,20,0.3,orig_simpl_obj,2447
11-23,20,0.3,orig_minAB_obj,3316
11-23,20,0.3,orig_simpl_obj,2972
11-24,20,0.3,orig_minAB_obj,2220
11-24,20,0.3,orig_simpl_obj,2053
11-25,20,0.3,orig_minAB_obj,3344
11-25,20,0.3,orig_simpl_obj,3074
11-26,20,0.3,orig_minAB_obj,2731
11-26,20,0.3,orig_simpl_obj,2966
11-27,20,0.3,orig_minAB_obj,2453
11-27,20,0.3,orig_simpl_obj,2013
11-28,20,0.3,orig_minAB_obj,1620
11-28,20,0.3,orig_simpl_obj,2357
11-29,20,0.3,orig_minAB_obj,2173
11-29,20,0.3,orig_simpl_obj,2187
11-30,20,0.3,orig_minAB_obj,2418
11-30,20,0.3,orig_simpl_obj,2134
11-31,20,0.3,orig_minAB_obj,3870
11-31,20,0.3,orig_simpl_obj,4326
12-0,20,0.3,orig_minAB_obj,2805
12-0,20,0.3,orig_simpl_obj,2765
12-1,20,0.3,orig_minAB_obj,2571
12-1,20,0.3,orig_simpl_obj,2089
12-2,20,0.3,orig_minAB_obj,3286
12-2,20,0.3,orig_simpl_obj,3410
12-3,20,0.3,orig_minAB_obj,2542
12-3,20,0.3,orig_simpl_obj,3030
12-4,20,0.3,orig_minAB_obj,2245
12-4,20,0.3,orig_simpl_obj,2191
12-5,20,0.3,orig_minAB_obj,2627
12-5,20,0.3,orig_simpl_obj,2536
12-6,20,0.3,orig_minAB_obj,2425
12-6,20,0.3,orig_simpl_obj,1599
12-7,20,0.3,orig_minAB_obj,3124
12-7,20,0.3,orig_simpl_obj,3634
12-8,20,0.3,orig_minAB_obj,2641
12-8,20,0.3,orig_simpl_obj,3074
12-9,20,0.3,orig_minAB_obj,2778
12-9,20,0.3,orig_simpl_obj,3136
12-10,20,0.3,orig_minAB_obj,3713
12-10,20,0.3,orig_simpl_obj,4196
12-11,20,0.3,orig_minAB_obj,2139
12-11,20,0.3,orig_simpl_obj,2417
12-12,20,0.3,orig_minAB_obj,3980
12-12,20,0.3,orig_simpl_obj,4022
12-13,20,0.3,orig_minAB_obj,3103
12-13,20,0.3,orig_simpl_obj,3120
12-14,20,0.3,orig_minAB_obj,2428
12-14,20,0.3,orig_simpl_obj,3221
12-15,20,0.3,orig_minAB_obj,2379
12-15,20,0.3,orig_simpl_obj,3446
12-16,20,0.3,orig_minAB_obj,1419
12-16,20,0.3,orig_simpl_obj,1664
12-17,20,0.3,orig_minAB_obj,2708
12-17,20,0.3,orig_simpl_obj,3534
12-18,20,0.3,orig_minAB_obj,4079
12-18,20,0.3,orig_simpl_obj,4441
12-19,20,0.3,orig_minAB_obj,1971
12-19,20,0.3,orig_simpl_obj,2078
12-20,20,0.3,orig_minAB_obj,3478
12-20,20,0.3,orig_simpl_obj,3360
12-21,20,0.3,orig_minAB_obj,1600
12-21,20,0.3,orig_simpl_obj,1360
12-22,20,0.3,orig_minAB_obj,3889
12-22,20,0.3,orig_simpl_obj,4681
12-23,20,0.3,orig_minAB_obj,2556
12-23,20,0.3,orig_simpl_obj,2610
12-24,20,0.3,orig_minAB_obj,2971
12-24,20,0.3,orig_simpl_obj,3032
12-25,20,0.3,orig_minAB_obj,3361
12-25,20,0.3,orig_simpl_obj,4227
12-26,20,0.3,orig_minAB_obj,2644
12-26,20,0.3,orig_simpl_obj,3007
12-27,20,0.3,orig_minAB_obj,3031
12-27,20,0.3,orig_simpl_obj,3198
12-28,20,0.3,orig_minAB_obj,2639
12-28,20,0.3,orig_simpl_obj,2460
12-29,20,0.3,orig_minAB_obj,1404
12-29,20,0.3,orig_simpl_obj,2048
12-30,20,0.3,orig_minAB_obj,2822
12-30,20,0.3,orig_simpl_obj,3354
12-31,20,0.3,orig_minAB_obj,2081
12-31,20,0.3,orig_simpl_obj,2568
13-0,20,0.3,orig_minAB_obj,2928
13-0,20,0.3,orig_simpl_obj,2494
13-1,20,0.3,orig_minAB_obj,3106
13-1,20,0.3,orig_simpl_obj,2909
13-2,20,0.3,orig_minAB_obj,3298
13-2,20,0.3,orig_simpl_obj,3940
13-3,20,0.3,orig_minAB_obj,1679
13-3,20,0.3,orig_simpl_obj,2196
13-4,20,0.3,orig_minAB_obj,3129
13-4,20,0.3,orig_simpl_obj,3945
