instance,n,prob,num_type,value
10-30,20,0.3,orig_minAB_obj,965
10-30,20,0.3,orig_simpl_obj,1066
10-31,20,0.3,orig_minAB_obj,381
10-31,20,0.3,orig_simpl_obj,381
11-0,20,0.3,orig_minAB_obj,738
11-0,20,0.3,orig_simpl_obj,699
11-1,20,0.3,orig_minAB_obj,455
11-1,20,0.3,orig_simpl_obj,499
11-2,20,0.3,orig_minAB_obj,239
11-2,20,0.3,orig_simpl_obj,253
11-3,20,0.3,orig_minAB_obj,1027
11-3,20,0.3,orig_simpl_obj,1275
11-4,20,0.3,orig_minAB_obj,720
11-4,20,0.3,orig_simpl_obj,929
11-5,20,0.3,orig_minAB_obj,459
11-5,20,0.3,orig_simpl_obj,499
11-6,20,0.3,orig_minAB_obj,251
11-6,20,0.3,orig_simpl_obj,244
11-7,20,0.3,orig_minAB_obj,552
11-7,20,0.3,orig_simpl_obj,894
11-8,20,0.3,orig_minAB_obj,2033
11-8,20,0.3,orig_simpl_obj,2060
11-9,20,0.3,orig_minAB_obj,1367
11-9,20,0.3,orig_simpl_obj,1534
11-10,20,0.3,orig_minAB_obj,724
11-10,20,0.3,orig_simpl_obj,626
11-11,20,0.3,orig_minAB_obj,796
11-11,20,0.3,orig_simpl_obj,946
11-12,20,0.3,orig_minAB_obj,1252
11-12,20,0.3,orig_simpl_obj,1626
11-13,20,0.3,orig_minAB_obj,945
11-13,20,0.3,orig_simpl_obj,996
11-14,20,0.3,orig_minAB_obj,154
11-14,20,0.3,orig_simpl_obj,157
11-15,20,0.3,orig_minAB_obj,2173
11-15,20,0.3,orig_simpl_obj,4127
11-16,20,0.3,orig_minAB_obj,91
11-16,20,0.3,orig_simpl_obj,86
11-17,20,0.3,orig_minAB_obj,1462
11-17,20,0.3,orig_simpl_obj,1741
11-18,20,0.3,orig_minAB_obj,2022
11-18,20,0.3,orig_simpl_obj,2199
11-19,20,0.3,orig_minAB_obj,39
11-19,20,0.3,orig_simpl_obj,39
11-20,20,0.3,orig_minAB_obj,777
11-20,20,0.3,orig_simpl_obj,477
11-21,20,0.3,orig_minAB_obj,445
11-21,20,0.3,orig_simpl_obj,537
11-22,20,0.3,orig_minAB_obj,983
