run,k,n,method,step,time
test,10,5,CPP,MIP-build,1.3
test,10,5,CPP,MIP-solve,0.3
test,10,5,CPP,VS-build+solve,0.5
test,10,5,CPP,BDD-align-to-vs,1.2
test,10,5,CPP,intersection-build,0.1
test,10,5,CPP,intersection-SP-solve,0.0
test,10,5,CPP,BDD-align-gsifts,11.9
test,10,5,CPP,intersection-gsifts-build,0.1
test,10,5,CPP,intersection-gsifts-SP-solve,0.0
test,11,5,gen_instance,all, 3.1
test,11,5,plain_MIP,build+solve,0.7
test,11,5,CPP,BDD-build,4.4
test,11,5,CPP,MIP-build,2.3
test,11,5,CPP,MIP-solve,0.9
test,11,5,CPP,VS-build+solve,0.7
test,11,5,CPP,BDD-align-to-vs,1.9
test,11,5,CPP,intersection-build,0.2
test,11,5,CPP,intersection-SP-solve,0.1
test,11,5,CPP,BDD-align-gsifts,10.9
test,11,5,CPP,intersection-gsifts-build,0.1
test,11,5,CPP,intersection-gsifts-SP-solve,0.0
test,12,5,gen_instance,all, 3.0
test,12,5,plain_MIP,build+solve,0.9
test,12,5,CPP,BDD-build,2.8
test,12,5,CPP,MIP-build,1.4
test,12,5,CPP,MIP-solve,0.3
test,12,5,CPP,VS-build+solve,0.5
test,12,5,CPP,BDD-align-to-vs,0.9
test,12,5,CPP,intersection-build,0.1
test,12,5,CPP,intersection-SP-solve,0.0
test,12,5,CPP,BDD-align-gsifts,10.5
test,12,5,CPP,intersection-gsifts-build,0.1
test,12,5,CPP,intersection-gsifts-SP-solve,0.0
test,13,5,gen_instance,all, 3.0
test,13,5,plain_MIP,build+solve,1.3
test,13,5,CPP,BDD-build,3.9
test,13,5,CPP,MIP-build,1.6
test,13,5,CPP,MIP-solve,0.7
test,13,5,CPP,VS-build+solve,1.6
test,13,5,CPP,BDD-align-to-vs,2.2
test,13,5,CPP,intersection-build,0.3
test,13,5,CPP,intersection-SP-solve,0.1
test,13,5,CPP,BDD-align-gsifts,13.8
test,13,5,CPP,intersection-gsifts-build,0.1
test,13,5,CPP,intersection-gsifts-SP-solve,0.0
test,14,5,gen_instance,all, 2.9
test,14,5,plain_MIP,build+solve,0.8
test,14,5,CPP,BDD-build,3.2
test,14,5,CPP,MIP-build,1.5
test,14,5,CPP,MIP-solve,0.6
test,14,5,CPP,VS-build+solve,1.4
test,14,5,CPP,BDD-align-to-vs,1.7
test,14,5,CPP,intersection-build,0.1
test,14,5,CPP,intersection-SP-solve,0.0
test,14,5,CPP,BDD-align-gsifts,11.9
test,14,5,CPP,intersection-gsifts-build,0.1
test,14,5,CPP,intersection-gsifts-SP-solve,0.0
test,15,5,gen_instance,all, 2.5
test,15,5,plain_MIP,build+solve,0.5
test,15,5,CPP,BDD-build,2.8
test,15,5,CPP,MIP-build,1.5
test,15,5,CPP,MIP-solve,0.4
test,15,5,CPP,VS-build+solve,1.5
test,15,5,CPP,BDD-align-to-vs,1.4
test,15,5,CPP,intersection-build,0.1
test,15,5,CPP,intersection-SP-solve,0.0
test,15,5,CPP,BDD-align-gsifts,10.8
test,15,5,CPP,intersection-gsifts-build,0.1
test,15,5,CPP,intersection-gsifts-SP-solve,0.0
test,16,5,gen_instance,all, 2.3
