test,10,22,CPP,MIP-build,95.1
test,10,22,CPP,MIP-solve,40.3
test,10,22,CPP,VS-build+solve,18.3
test,10,22,CPP,BDD-align-to-vs,198.0
test,10,22,CPP,intersection-build,108.6
test,10,22,CPP,intersection-SP-solve,7.1
test,10,22,CPP,BDD-align-gsifts,15114.0
test,10,22,CPP,intersection-gsifts-build,28.1
test,10,22,CPP,intersection-gsifts-SP-solve,5.1
test,11,22,gen_instance,all, 14.6
test,11,22,plain_MIP,build+solve,2.2
test,11,22,CPP,BDD-build,154.4
test,11,22,CPP,MIP-build,29.3
test,11,22,CPP,MIP-solve,11.6
test,11,22,CPP,VS-build+solve,202.0
test,11,22,CPP,BDD-align-to-vs,123.9
test,11,22,CPP,intersection-build,11.0
test,11,22,CPP,intersection-SP-solve,2.5
test,11,22,CPP,BDD-align-gsifts,6490.7
test,11,22,CPP,intersection-gsifts-build,12.9
test,11,22,CPP,intersection-gsifts-SP-solve,2.3
test,12,22,gen_instance,all, 14.0
test,12,22,plain_MIP,build+solve,2.0
test,12,22,CPP,BDD-build,286.1
test,12,22,CPP,MIP-build,47.0
test,12,22,CPP,MIP-solve,23.2
test,12,22,CPP,VS-build+solve,91.4
test,12,22,CPP,BDD-align-to-vs,237.1
test,12,22,CPP,intersection-build,19.9
test,12,22,CPP,intersection-SP-solve,5.0
test,12,22,CPP,BDD-align-gsifts,15744.6
test,12,22,CPP,intersection-gsifts-build,24.4
test,12,22,CPP,intersection-gsifts-SP-solve,6.6
test,13,22,gen_instance,all, 14.2
test,13,22,plain_MIP,build+solve,2.1
test,13,22,CPP,BDD-build,325.1
test,13,22,CPP,MIP-build,51.7
test,13,22,CPP,MIP-solve,30.2
test,13,22,CPP,VS-build+solve,206.0
test,13,22,CPP,BDD-align-to-vs,337.7
test,13,22,CPP,intersection-build,143.5
test,13,22,CPP,intersection-SP-solve,12.9
test,13,22,CPP,BDD-align-gsifts,18361.9
test,13,22,CPP,intersection-gsifts-build,19.3
test,13,22,CPP,intersection-gsifts-SP-solve,4.2
test,14,22,gen_instance,all, 13.2
test,14,22,plain_MIP,build+solve,1.4
test,14,22,CPP,BDD-build,393.6
test,14,22,CPP,MIP-build,51.2
test,14,22,CPP,MIP-solve,25.3
test,14,22,CPP,VS-build+solve,130.1
test,14,22,CPP,BDD-align-to-vs,299.1
test,14,22,CPP,intersection-build,14.0
test,14,22,CPP,intersection-SP-solve,1.5
test,14,22,CPP,BDD-align-gsifts,12907.0
test,14,22,CPP,intersection-gsifts-build,11.2
test,14,22,CPP,intersection-gsifts-SP-solve,1.1
test,15,22,gen_instance,all, 26.8
test,15,22,plain_MIP,build+solve,14.5
test,15,22,CPP,BDD-build,788.9
test,15,22,CPP,MIP-build,89.3
test,15,22,CPP,MIP-solve,52.5
test,15,22,CPP,VS-build+solve,22.9
test,15,22,CPP,BDD-align-to-vs,438.2
test,15,22,CPP,intersection-build,35.4
test,15,22,CPP,intersection-SP-solve,8.8
test,15,22,CPP,BDD-align-gsifts,20052.3
test,15,22,CPP,intersection-gsifts-build,24.4
test,15,22,CPP,intersection-gsifts-SP-solve,6.5
test,16,22,gen_instance,all, 14.5
test,16,22,plain_MIP,build+solve,1.8
