experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 5, 31, 15, 18, 0.01, 0.01
2, 6, 63, 20, 22, 0.00, 0.01
3, 7, 127, 25, 26, 0.00, 0.02
4, 8, 255, 28, 30, 0.00, 0.04
5, 9, 511, 31, 34, 0.00, 0.08
6, 10, 1023, 35, 38, 0.00, 0.21
7, 11, 2047, 41, 42, 0.00, 0.48
8, 12, 4095, 43, 46, 0.00, 0.81
9, 13, 8191, 48, 50, 0.01, 1.23
10, 14, 16383, 51, 54, 0.00, 2.51
11, 15, 32767, 56, 58, 0.00, 4.99
