experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
Set parameter Username
1, 15, 32767, 153, 138, 0.23, 5.99
2, 16, 65535, 567, 142, 0.26, 7.74
3, 17, 131071, 211, 154, 0.23, 11.36
4, 18, 262143, 215, 148, 0.21, 24.54
5, 19, 524287, 256, 150, 0.08, 91.50
6, 20, 1048575, 241, 178, 0.28, 105.66
7, 21, 2097151, 261, 186, 0.53, 198.78
8, 22, 4194303, 232, 184, 0.17, 400.79
