exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, tUMIP, tUDD, tTMIP, tTDD
171, 7, 10, 0.45, 3, 3, 6, -93.69, -85.26, 6.36, 2.45, 11.95, 2.39
172, 7, 10, 0.45, 3, 3, 1, -79.32, -76.18, 4.66, 2.46, 12.79, 2.61
173, 7, 10, 0.45, 3, 3, 1, -50.53, -41.86, 2.83, 3.35, 3.97, 3.10
174, 7, 10, 0.45, 3, 3, 5, -87.90, -78.06, 6.85, 2.83, 6.59, 2.71
175, 7, 10, 0.45, 3, 3, 5, -73.95, -71.61, 11.32, 2.33, 6.59, 2.19
176, 7, 10, 0.45, 3, 3, 1, -69.82, -65.95, 2.30, 2.57, 3.05, 2.31
177, 7, 10, 0.45, 3, 3, 2, -86.15, -83.89, 2.13, 2.29, 3.11, 2.33
178, 7, 10, 0.45, 3, 3, 3, -73.87, -71.35, 3.10, 2.41, 2.87, 2.41
179, 7, 10, 0.45, 3, 3, 1, -69.24, -66.14, 4.74, 2.76, 3.15, 2.78
180, 7, 10, 0.45, 3, 3, 1, -76.65, -70.79, 6.38, 2.34, 7.87, 2.35
181, 7, 10, 0.45, 3, 3, 3, -60.36, -49.35, 5.07, 2.34, 8.94, 2.41
182, 7, 10, 0.45, 3, 3, 1, -59.56, -56.96, 2.37, 2.22, 3.40, 2.24
183, 7, 10, 0.45, 3, 3, 1, -89.17, -83.15, 3.97, 2.44, 4.48, 2.45
184, 7, 10, 0.45, 3, 3, 2, -96.98, -95.71, 2.84, 2.43, 7.67, 2.47
185, 7, 10, 0.45, 3, 3, 3, -65.31, -60.47, 8.58, 2.65, 9.08, 2.68
186, 7, 10, 0.45, 3, 3, 5, -77.65, -75.06, 6.28, 2.68, 6.27, 2.64
187, 7, 10, 0.45, 3, 3, 1, -87.84, -82.46, 5.75, 2.65, 8.95, 2.62
188, 7, 10, 0.45, 3, 3, 3, -70.66, -67.49, 2.70, 2.36, 2.79, 2.33
