k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
480, optimal, 66.7, 6, 20.0, 100.0, 86.7, 0.4
481, optimal, 60.0, 2, 6.7, 53.3, 53.3, 0.5
482, optimal, 46.7, 1, 0.0, 73.3, 73.3, 0.6
483, optimal, 60.0, 4, 13.3, 86.7, 80.0, 0.4
484, optimal, 73.3, 8, 53.3, 100.0, 60.0, 0.5
485, optimal, 66.7, 120, 66.7, 100.0, 33.3, 0.5
486, optimal, 60.0, 6, 20.0, 86.7, 73.3, 0.4
487, optimal, 60.0, 8, 26.7, 86.7, 60.0, 0.4
488, optimal, 20.0, 48, 46.7, 73.3, 26.7, 0.4
489, optimal, 60.0, 20, 60.0, 86.7, 53.3, 0.6
490, optimal, 53.3, 4, 13.3, 60.0, 53.3, 0.5
491, optimal, 26.7, 16, 53.3, 40.0, 13.3, 0.4
492, optimal, 53.3, 6, 66.7, 80.0, 66.7, 0.5
493, optimal, 20.0, 4, 13.3, 53.3, 40.0, 0.5
494, optimal, 53.3, 8, 26.7, 73.3, 53.3, 0.7
495, optimal, 60.0, 2, 6.7, 73.3, 73.3, 0.4
496, optimal, 46.7, 8, 20.0, 80.0, 60.0, 0.4
497, optimal, 53.3, 120, 66.7, 100.0, 33.3, 0.5
498, optimal, 86.7, 12, 26.7, 93.3, 66.7, 0.5
499, optimal, 33.3, 14, 53.3, 86.7, 33.3, 0.5
500, optimal, 60.0, 3, 13.3, 100.0, 93.3, 0.6
501, optimal, 73.3, 36, 40.0, 80.0, 46.7, 0.4
502, optimal, 40.0, 12, 26.7, 100.0, 73.3, 0.5
503, optimal, 33.3, 12, 26.7, 73.3, 46.7, 0.5
504, optimal, 66.7, 120, 66.7, 100.0, 33.3, 0.5
505, optimal, 13.3, 2, 6.7, 0.0, 0.0, 0.5
506, optimal, 66.7, 4, 13.3, 80.0, 73.3, 0.4
507, optimal, 40.0, 6, 20.0, 60.0, 40.0, 0.4
508, optimal, 60.0, 12, 26.7, 86.7, 60.0, 0.4
509, optimal, 46.7, 12, 26.7, 80.0, 60.0, 0.5
510, optimal, 53.3, 2, 6.7, 73.3, 73.3, 0.5
511, optimal, 46.7, 4, 20.0, 46.7, 40.0, 0.5
512, optimal, 40.0, 120, 66.7, 100.0, 33.3, 0.5
513, optimal, 60.0, 2, 6.7, 60.0, 60.0, 0.6
