t_toA, intsize_toA, t_VS, intsize_VS
Set parameter Username
0.72, 4047,0.15, 859
0.94, 7589,0.20, 6751
1.33, 17167,0.42, 3271
0.23, 5079,0.28, 1931
1.58, 15607,0.18, 3952
1.99, 23731,0.31, 13639
0.98, 10185,0.29, 4867
0.63, 8291,0.44, 2143
0.23, 3387,0.15, 1051
0.48, 4759,0.31, 8715
0.75, 16207,0.17, 2471
1.49, 15991,0.69, 47183
1.41, 6787,0.20, 2399
0.61, 10239,0.29, 2559
0.47, 6271,0.39, 16257
0.12, 1207,
