instance,num_type,value,comment
14,orig_gsifts1p_nat_obj,44,--none--
14,orig_simpl_rnd_obj,73,--none--
14,orig_minAB_rnd_obj,48,--none--
14,orig_5random_rnd_obj,69,--none--
14,orig_gsifts1p_rnd_obj,46,--none--
15,orig_simpl_nat_obj,44,--none--
15,orig_minAB_nat_obj,43,--none--
15,orig_5random_nat_obj,57,--none--
15,orig_gsifts1p_nat_obj,43,--none--
15,orig_simpl_rnd_obj,51,--none--
15,orig_minAB_rnd_obj,56,--none--
15,orig_5random_rnd_obj,53,--none--
15,orig_gsifts1p_rnd_obj,45,--none--
16,orig_simpl_nat_obj,27,--none--
16,orig_minAB_nat_obj,27,--none--
16,orig_5random_nat_obj,38,--none--
16,orig_gsifts1p_nat_obj,25,--none--
16,orig_simpl_rnd_obj,45,--none--
16,orig_minAB_rnd_obj,37,--none--
16,orig_5random_rnd_obj,29,--none--
16,orig_gsifts1p_rnd_obj,29,--none--
17,orig_simpl_nat_obj,30,--none--
17,orig_minAB_nat_obj,30,--none--
17,orig_5random_nat_obj,38,--none--
17,orig_gsifts1p_nat_obj,30,--none--
17,orig_simpl_rnd_obj,56,--none--
17,orig_minAB_rnd_obj,43,--none--
17,orig_5random_rnd_obj,41,--none--
17,orig_gsifts1p_rnd_obj,32,--none--
18,orig_simpl_nat_obj,31,--none--
18,orig_minAB_nat_obj,30,--none--
18,orig_5random_nat_obj,32,--none--
18,orig_gsifts1p_nat_obj,32,--none--
18,orig_simpl_rnd_obj,50,--none--
18,orig_minAB_rnd_obj,39,--none--
18,orig_5random_rnd_obj,46,--none--
18,orig_gsifts1p_rnd_obj,43,--none--
19,orig_simpl_nat_obj,42,--none--
19,orig_minAB_nat_obj,40,--none--
19,orig_5random_nat_obj,44,--none--
19,orig_gsifts1p_nat_obj,38,--none--
19,orig_simpl_rnd_obj,59,--none--
19,orig_minAB_rnd_obj,48,--none--
19,orig_5random_rnd_obj,45,--none--
19,orig_gsifts1p_rnd_obj,36,--none--
20,orig_simpl_nat_obj,63,--none--
20,orig_minAB_nat_obj,62,--none--
20,orig_5random_nat_obj,74,--none--
20,orig_gsifts1p_nat_obj,47,--none--
20,orig_simpl_rnd_obj,64,--none--
20,orig_minAB_rnd_obj,74,--none--
20,orig_5random_rnd_obj,62,--none--
20,orig_gsifts1p_rnd_obj,65,--none--
21,orig_simpl_nat_obj,37,--none--
21,orig_minAB_nat_obj,37,--none--
21,orig_5random_nat_obj,36,--none--
21,orig_gsifts1p_nat_obj,30,--none--
21,orig_simpl_rnd_obj,38,--none--
21,orig_minAB_rnd_obj,38,--none--
21,orig_5random_rnd_obj,40,--none--
21,orig_gsifts1p_rnd_obj,25,--none--
22,orig_simpl_nat_obj,29,--none--
22,orig_minAB_nat_obj,29,--none--
22,orig_5random_nat_obj,32,--none--
22,orig_gsifts1p_nat_obj,25,--none--
22,orig_simpl_rnd_obj,39,--none--
22,orig_minAB_rnd_obj,32,--none--
22,orig_5random_rnd_obj,28,--none--
22,orig_gsifts1p_rnd_obj,25,--none--
23,orig_simpl_nat_obj,62,--none--
23,orig_minAB_nat_obj,58,--none--
23,orig_5random_nat_obj,67,--none--
23,orig_gsifts1p_nat_obj,54,--none--
23,orig_simpl_rnd_obj,84,--none--
23,orig_minAB_rnd_obj,82,--none--
23,orig_5random_rnd_obj,66,--none--
23,orig_gsifts1p_rnd_obj,66,--none--
24,orig_simpl_nat_obj,48,--none--
24,orig_minAB_nat_obj,47,--none--
24,orig_5random_nat_obj,63,--none--
24,orig_gsifts1p_nat_obj,43,--none--
24,orig_simpl_rnd_obj,52,--none--
24,orig_minAB_rnd_obj,56,--none--
24,orig_5random_rnd_obj,59,--none--
24,orig_gsifts1p_rnd_obj,41,--none--
25,orig_simpl_nat_obj,49,--none--
25,orig_minAB_nat_obj,47,--none--
25,orig_5random_nat_obj,71,--none--
25,orig_gsifts1p_nat_obj,47,--none--
25,orig_simpl_rnd_obj,78,--none--
25,orig_minAB_rnd_obj,70,--none--
25,orig_5random_rnd_obj,53,--none--
25,orig_gsifts1p_rnd_obj,44,--none--
26,orig_simpl_nat_obj,79,--none--
26,orig_minAB_nat_obj,79,--none--
26,orig_5random_nat_obj,109,--none--
26,orig_gsifts1p_nat_obj,77,--none--
26,orig_simpl_rnd_obj,128,--none--
26,orig_minAB_rnd_obj,126,--none--
26,orig_5random_rnd_obj,97,--none--
26,orig_gsifts1p_rnd_obj,74,--none--
27,orig_simpl_nat_obj,57,--none--
27,orig_minAB_nat_obj,54,--none--
27,orig_5random_nat_obj,54,--none--
27,orig_gsifts1p_nat_obj,41,--none--
27,orig_simpl_rnd_obj,77,--none--
27,orig_minAB_rnd_obj,67,--none--
27,orig_5random_rnd_obj,53,--none--
27,orig_gsifts1p_rnd_obj,53,--none--
28,orig_simpl_nat_obj,37,--none--
28,orig_minAB_nat_obj,36,--none--
28,orig_5random_nat_obj,38,--none--
28,orig_gsifts1p_nat_obj,33,--none--
28,orig_simpl_rnd_obj,52,--none--
28,orig_minAB_rnd_obj,43,--none--
28,orig_5random_rnd_obj,40,--none--
28,orig_gsifts1p_rnd_obj,35,--none--
29,orig_simpl_nat_obj,39,--none--
29,orig_minAB_nat_obj,38,--none--
29,orig_5random_nat_obj,43,--none--
29,orig_gsifts1p_nat_obj,39,--none--
29,orig_simpl_rnd_obj,58,--none--
29,orig_minAB_rnd_obj,50,--none--
29,orig_5random_rnd_obj,42,--none--
29,orig_gsifts1p_rnd_obj,50,--none--
30,orig_simpl_nat_obj,60,--none--
30,orig_minAB_nat_obj,59,--none--
30,orig_5random_nat_obj,69,--none--
30,orig_gsifts1p_nat_obj,67,--none--
30,orig_simpl_rnd_obj,82,--none--
30,orig_minAB_rnd_obj,54,--none--
30,orig_5random_rnd_obj,71,--none--
30,orig_gsifts1p_rnd_obj,65,--none--
31,orig_simpl_nat_obj,30,--none--
31,orig_minAB_nat_obj,30,--none--
31,orig_5random_nat_obj,38,--none--
31,orig_gsifts1p_nat_obj,24,--none--
31,orig_simpl_rnd_obj,32,--none--
31,orig_minAB_rnd_obj,33,--none--
31,orig_5random_rnd_obj,32,--none--
31,orig_gsifts1p_rnd_obj,22,--none--
32,orig_simpl_nat_obj,31,--none--
32,orig_minAB_nat_obj,29,--none--
32,orig_5random_nat_obj,43,--none--
32,orig_gsifts1p_nat_obj,27,--none--
32,orig_simpl_rnd_obj,54,--none--
32,orig_minAB_rnd_obj,48,--none--
32,orig_5random_rnd_obj,42,--none--
32,orig_gsifts1p_rnd_obj,26,--none--
33,orig_simpl_nat_obj,25,--none--
33,orig_minAB_nat_obj,25,--none--
33,orig_5random_nat_obj,30,--none--
33,orig_gsifts1p_nat_obj,25,--none--
33,orig_simpl_rnd_obj,29,--none--
33,orig_minAB_rnd_obj,26,--none--
33,orig_5random_rnd_obj,32,--none--
33,orig_gsifts1p_rnd_obj,24,--none--
34,orig_simpl_nat_obj,47,--none--
34,orig_minAB_nat_obj,49,--none--
34,orig_5random_nat_obj,61,--none--
34,orig_gsifts1p_nat_obj,41,--none--
34,orig_simpl_rnd_obj,64,--none--
34,orig_minAB_rnd_obj,60,--none--
34,orig_5random_rnd_obj,54,--none--
34,orig_gsifts1p_rnd_obj,42,--none--
35,orig_simpl_nat_obj,31,--none--
35,orig_minAB_nat_obj,32,--none--
35,orig_5random_nat_obj,38,--none--
35,orig_gsifts1p_nat_obj,34,--none--
35,orig_simpl_rnd_obj,43,--none--
35,orig_minAB_rnd_obj,42,--none--
35,orig_5random_rnd_obj,36,--none--
35,orig_gsifts1p_rnd_obj,36,--none--
36,orig_simpl_nat_obj,43,--none--
36,orig_minAB_nat_obj,43,--none--
36,orig_5random_nat_obj,62,--none--
36,orig_gsifts1p_nat_obj,46,--none--
36,orig_simpl_rnd_obj,59,--none--
36,orig_minAB_rnd_obj,61,--none--
36,orig_5random_rnd_obj,51,--none--
36,orig_gsifts1p_rnd_obj,39,--none--
37,orig_simpl_nat_obj,38,--none--
37,orig_minAB_nat_obj,39,--none--
37,orig_5random_nat_obj,46,--none--
37,orig_gsifts1p_nat_obj,36,--none--
37,orig_simpl_rnd_obj,50,--none--
37,orig_minAB_rnd_obj,51,--none--
37,orig_5random_rnd_obj,42,--none--
37,orig_gsifts1p_rnd_obj,38,--none--
38,orig_simpl_nat_obj,33,--none--
38,orig_minAB_nat_obj,33,--none--
38,orig_5random_nat_obj,56,--none--
38,orig_gsifts1p_nat_obj,33,--none--
38,orig_simpl_rnd_obj,54,--none--
38,orig_minAB_rnd_obj,56,--none--
38,orig_5random_rnd_obj,39,--none--
38,orig_gsifts1p_rnd_obj,31,--none--
39,orig_simpl_nat_obj,40,--none--
39,orig_minAB_nat_obj,40,--none--
39,orig_5random_nat_obj,46,--none--
39,orig_gsifts1p_nat_obj,38,--none--
39,orig_simpl_rnd_obj,55,--none--
39,orig_minAB_rnd_obj,50,--none--
39,orig_5random_rnd_obj,42,--none--
39,orig_gsifts1p_rnd_obj,35,--none--
40,orig_simpl_nat_obj,52,--none--
