instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
-1,legend,orig_5random_nat,Best of 5 random (natural var order)
-1,legend,orig_5random_rnd,Best of 5 random (random var order)
-1,legend,orig_5random_ctl,Best of 5 random (control experiment)
-1,legend,orig_minAB_ctl,Best of A and B (control experiment)
-1,legend,orig_simpl_ctl,Simplified problem (control experiment)
5-10,color_size_nat,5,--none--
5-10,cover_size_nat,11,--none--
5-10,orig_simpl_nat_obj,11,--none--
5-10,orig_minAB_nat_obj,11,--none--
5-10,color_size_rnd,5,--none--
5-10,cover_size_rnd,11,--none--
5-10,orig_simpl_rnd_obj,13,--none--
5-10,orig_minAB_rnd_obj,11,--none--
5-10,color_size_ctl,19,--none--
5-10,cover_size_ctl,17,--none--
5-10,orig_simpl_ctl_obj,31,--none--
5-10,orig_minAB_ctl_obj,30,--none--
5-11,color_size_nat,5,--none--
5-11,cover_size_nat,11,--none--
5-11,orig_simpl_nat_obj,11,--none--
5-11,orig_minAB_nat_obj,11,--none--
5-11,color_size_rnd,5,--none--
5-11,cover_size_rnd,11,--none--
5-11,orig_simpl_rnd_obj,15,--none--
5-11,orig_minAB_rnd_obj,11,--none--
5-11,color_size_ctl,20,--none--
5-11,cover_size_ctl,7,--none--
5-11,orig_simpl_ctl_obj,23,--none--
5-11,orig_minAB_ctl_obj,20,--none--
5-12,color_size_nat,10,--none--
5-12,cover_size_nat,11,--none--
5-12,orig_simpl_nat_obj,10,--none--
5-12,orig_minAB_nat_obj,10,--none--
5-12,color_size_rnd,11,--none--
5-12,cover_size_rnd,14,--none--
5-12,orig_simpl_rnd_obj,10,--none--
5-12,orig_minAB_rnd_obj,10,--none--
5-12,color_size_ctl,12,--none--
5-12,cover_size_ctl,11,--none--
5-12,orig_simpl_ctl_obj,16,--none--
5-12,orig_minAB_ctl_obj,15,--none--
5-13,color_size_nat,5,--none--
5-13,cover_size_nat,11,--none--
5-13,orig_simpl_nat_obj,11,--none--
5-13,orig_minAB_nat_obj,11,--none--
5-13,color_size_rnd,5,--none--
5-13,cover_size_rnd,12,--none--
5-13,orig_simpl_rnd_obj,10,--none--
5-13,orig_minAB_rnd_obj,10,--none--
5-13,color_size_ctl,11,--none--
5-13,cover_size_ctl,9,--none--
5-13,orig_simpl_ctl_obj,22,--none--
5-13,orig_minAB_ctl_obj,23,--none--
5-14,color_size_nat,5,--none--
5-14,cover_size_nat,11,--none--
5-14,orig_simpl_nat_obj,11,--none--
5-14,orig_minAB_nat_obj,11,--none--
5-14,color_size_rnd,5,--none--
5-14,cover_size_rnd,11,--none--
5-14,orig_simpl_rnd_obj,10,--none--
5-14,orig_minAB_rnd_obj,11,--none--
5-14,color_size_ctl,18,--none--
5-14,cover_size_ctl,12,--none--
5-14,orig_simpl_ctl_obj,31,--none--
5-14,orig_minAB_ctl_obj,31,--none--
5-15,color_size_nat,5,--none--
5-15,cover_size_nat,12,--none--
