run,k,n,method,step,time
test,14,20,CPP,MIP-solve,12.8
test,14,20,CPP,VS-build+solve,13.4
test,14,20,CPP,BDD-align-to-vs,54.4
test,14,20,CPP,intersection-build,4.1
test,14,20,CPP,intersection-SP-solve,0.5
test,15,20,gen_instance,all, 9.0
test,15,20,plain_MIP,build+solve,2.3
test,15,20,CPP,BDD-build,141.1
test,15,20,CPP,MIP-build,56.4
test,15,20,CPP,MIP-solve,18.8
test,15,20,CPP,VS-build+solve,26.6
test,15,20,CPP,BDD-align-to-vs,56.9
test,15,20,CPP,intersection-build,6.1
test,15,20,CPP,intersection-SP-solve,1.3
test,16,20,gen_instance,all, 14.2
test,16,20,plain_MIP,build+solve,1.4
test,16,20,CPP,BDD-build,106.8
test,16,20,CPP,MIP-build,16.5
test,16,20,CPP,MIP-solve,16.3
test,16,20,CPP,VS-build+solve,103.9
test,16,20,CPP,BDD-align-to-vs,93.8
test,16,20,CPP,intersection-build,7.8
test,16,20,CPP,intersection-SP-solve,2.0
test,17,20,gen_instance,all, 9.4
test,17,20,plain_MIP,build+solve,2.9
test,17,20,CPP,BDD-build,185.5
test,17,20,CPP,MIP-build,25.3
test,17,20,CPP,MIP-solve,17.3
test,17,20,CPP,VS-build+solve,46.8
test,17,20,CPP,BDD-align-to-vs,81.2
test,17,20,CPP,intersection-build,9.0
test,17,20,CPP,intersection-SP-solve,2.3
test,18,20,gen_instance,all, 8.5
test,18,20,plain_MIP,build+solve,2.4
test,18,20,CPP,BDD-build,131.0
test,18,20,CPP,MIP-build,59.3
test,18,20,CPP,MIP-solve,15.3
test,18,20,CPP,VS-build+solve,61.0
test,18,20,CPP,BDD-align-to-vs,75.5
test,18,20,CPP,intersection-build,6.9
test,18,20,CPP,intersection-SP-solve,1.1
test,19,20,gen_instance,all, 8.4
test,19,20,plain_MIP,build+solve,2.0
test,19,20,CPP,BDD-build,130.5
test,19,20,CPP,MIP-build,21.1
test,19,20,CPP,MIP-solve,23.2
test,19,20,CPP,VS-build+solve,37.7
test,19,20,CPP,BDD-align-to-vs,64.0
test,19,20,CPP,intersection-build,9.3
test,19,20,CPP,intersection-SP-solve,2.0
test,20,20,gen_instance,all, 8.9
test,20,20,plain_MIP,build+solve,2.3
test,20,20,CPP,BDD-build,137.3
test,20,20,CPP,MIP-build,21.1
test,20,20,CPP,MIP-solve,20.9
test,20,20,CPP,VS-build+solve,102.4
test,20,20,CPP,BDD-align-to-vs,114.3
test,20,20,CPP,intersection-build,8.2
test,20,20,CPP,intersection-SP-solve,1.8
test,21,20,gen_instance,all, 8.4
test,21,20,plain_MIP,build+solve,2.0
test,21,20,CPP,BDD-build,198.2
test,21,20,CPP,MIP-build,24.2
test,21,20,CPP,MIP-solve,13.7
test,21,20,CPP,VS-build+solve,18.8
test,21,20,CPP,BDD-align-to-vs,124.0
test,21,20,CPP,intersection-build,7.2
test,21,20,CPP,intersection-SP-solve,0.9
test,22,20,gen_instance,all, 8.8
test,22,20,plain_MIP,build+solve,2.2
test,22,20,CPP,BDD-build,154.6
test,22,20,CPP,MIP-build,24.5
test,22,20,CPP,MIP-solve,14.9
test,22,20,CPP,VS-build+solve,63.1
test,22,20,CPP,BDD-align-to-vs,179.0
test,22,20,CPP,intersection-build,5.5
test,22,20,CPP,intersection-SP-solve,1.6
test,23,20,gen_instance,all, 9.7
test,23,20,plain_MIP,build+solve,2.5
test,23,20,CPP,BDD-build,104.0
test,23,20,CPP,MIP-build,19.0
test,23,20,CPP,MIP-solve,10.6
test,23,20,CPP,VS-build+solve,43.4
test,23,20,CPP,BDD-align-to-vs,73.5
test,23,20,CPP,intersection-build,7.3
test,23,20,CPP,intersection-SP-solve,1.9
test,24,20,gen_instance,all, 9.3
test,24,20,plain_MIP,build+solve,2.8
test,24,20,CPP,BDD-build,179.2
test,24,20,CPP,MIP-build,22.2
test,24,20,CPP,MIP-solve,15.7
test,24,20,CPP,VS-build+solve,84.4
test,24,20,CPP,BDD-align-to-vs,138.8
test,24,20,CPP,intersection-build,6.9
test,24,20,CPP,intersection-SP-solve,1.3
test,25,20,gen_instance,all, 8.3
test,25,20,plain_MIP,build+solve,1.7
test,25,20,CPP,BDD-build,78.0
test,25,20,CPP,MIP-build,14.4
test,25,20,CPP,MIP-solve,7.6
test,25,20,CPP,VS-build+solve,52.9
test,25,20,CPP,BDD-align-to-vs,75.8
test,25,20,CPP,intersection-build,4.1
test,25,20,CPP,intersection-SP-solve,1.1
test,26,20,gen_instance,all, 8.3
test,26,20,plain_MIP,build+solve,1.7
test,26,20,CPP,BDD-build,109.7
test,26,20,CPP,MIP-build,15.8
test,26,20,CPP,MIP-solve,12.5
test,26,20,CPP,VS-build+solve,87.5
