instance,inversions,reducedA,reducedB,gen_trial
1,60,True,True,1
2,51,True,True,1
3,46,True,True,1
4,46,True,True,1
5,58,True,True,1
6,47,True,True,1
7,45,True,True,1
8,33,True,True,1
9,52,True,True,1
10,63,True,True,1
11,55,True,True,1
12,57,True,True,1
13,53,True,True,1
14,52,True,True,1
15,40,True,True,1
16,59,True,True,1
17,51,True,True,1
18,46,True,True,1
19,49,True,True,1
20,54,True,True,1
21,83,True,True,1
22,46,True,True,1
23,66,True,True,1
24,52,True,True,1
25,67,True,True,1
26,47,True,True,1
27,38,True,True,1
28,59,True,True,1
29,36,True,True,1
30,62,True,True,1
31,51,True,True,1
32,56,True,True,1
33,43,True,True,1
34,79,True,True,1
35,52,True,True,1
36,64,True,True,1
37,47,True,True,1
38,59,True,True,1
39,36,True,True,1
40,61,True,True,1
41,47,True,True,1
42,56,True,True,1
43,34,True,True,1
44,72,True,True,1
45,51,True,True,1
46,55,True,True,1
47,50,True,True,1
48,51,True,True,1
49,47,True,True,1
50,55,True,True,1
51,50,True,True,1
52,45,True,True,1
53,24,True,True,1
54,57,True,True,1
55,44,True,True,1
56,49,True,True,1
57,42,True,True,1
58,49,True,True,1
59,44,True,True,1
60,50,True,True,1
61,55,True,True,1
62,47,True,True,1
63,36,True,True,1
64,54,True,True,1
65,69,True,True,1
66,57,True,True,1
67,44,True,True,1
68,61,True,True,1
69,53,True,True,1
70,62,True,True,1
71,54,True,True,1
72,76,True,True,1
73,49,True,True,1
74,48,True,True,1
75,68,True,True,1
76,30,True,True,1
77,62,True,True,1
78,53,True,True,1
79,47,True,True,1
80,50,True,True,1
81,43,True,True,1
82,42,True,True,1
83,58,True,True,1
84,66,True,True,1
85,47,True,True,1
86,49,True,True,1
87,53,True,True,1
88,50,True,True,1
89,53,True,True,1
90,57,True,True,1
91,66,True,True,1
92,37,True,True,1
93,35,True,True,1
94,50,True,True,1
95,59,True,True,1
96,51,True,True,1
97,58,True,True,1
98,42,True,True,1
99,52,True,True,1
100,53,True,True,1
101,63,True,True,1
102,56,True,True,1
103,53,True,True,1
104,44,True,True,1
105,55,True,True,1
106,54,True,True,1
107,49,True,True,1
108,57,True,True,1
109,49,True,True,1
110,35,True,True,1
111,70,True,True,1
112,56,True,True,1
113,37,True,True,1
114,69,True,True,1
115,29,True,True,1
116,75,True,True,1
117,64,True,True,1
118,35,True,True,1
119,38,True,True,1
120,48,True,True,1
121,47,True,True,1
122,64,True,True,1
123,52,True,True,1
124,62,True,True,1
125,61,True,True,1
126,41,True,True,1
127,46,True,True,1
128,70,True,True,1
129,42,True,True,1
130,61,True,True,1
131,54,True,True,1
132,42,True,True,1
133,46,True,True,1
134,44,True,True,1
135,50,True,True,1
136,57,True,True,1
137,47,True,True,1
138,39,True,True,1
139,61,True,True,1
140,45,True,True,1
141,44,True,True,1
142,52,True,True,1
143,62,True,True,1
144,44,True,True,1
145,47,True,True,1
146,43,True,True,1
147,62,True,True,1
148,60,True,True,1
149,44,True,True,1
150,38,True,True,1
151,58,True,True,1
152,63,True,True,1
153,39,True,True,1
154,58,True,True,1
155,67,True,True,1
156,40,True,True,1
157,71,True,True,1
158,51,True,True,1
159,45,True,True,1
160,60,True,True,1
161,64,True,True,1
162,68,True,True,1
163,35,True,True,1
164,57,True,True,1
165,62,True,True,1
166,55,True,True,1
167,63,True,True,1
168,59,True,True,1
169,41,True,True,1
170,50,True,True,1
171,41,True,True,1
172,40,True,True,1
173,40,True,True,1
174,61,True,True,1
175,37,True,True,1
176,44,True,True,1
177,49,True,True,1
178,43,True,True,1
179,43,True,True,1
180,54,True,True,1
181,58,True,True,1
182,53,True,True,1
183,50,True,True,1
184,65,True,True,1
185,39,True,True,1
186,49,True,True,1
187,53,True,True,1
188,43,True,True,1
189,37,True,True,1
190,45,True,True,1
191,40,True,True,1
192,30,True,True,1
193,55,True,True,1
194,57,True,True,1
195,47,True,True,1
196,61,True,True,1
197,60,True,True,1
198,43,True,True,1
199,68,True,True,1
200,52,True,True,1
201,70,True,True,1
202,63,True,True,1
203,51,True,True,1
204,68,True,True,1
