instance,inversions,reducedA,reducedB,gen_trial
1,16,False,False,1
2,14,False,False,1
3,32,False,False,1
4,17,False,False,1
5,38,False,False,1
6,24,False,False,1
7,13,False,False,1
8,19,False,False,1
9,20,False,False,1
10,23,False,False,1
11,27,False,Fals13,212,19,False,Fa14,29,True,True,1
15,21,True,True,1
16,24,True,True,1
17,24,True,True,1
18,28,True,True,1
19,25,True,True,1
20,26,True,True,1
21,27,True,True,1
22,6,True,True,1
23,20,True,True,1
24,22,True,True,1
25,19,True,True,1
26,26,True,True,1
27,27,True,True,1
28,22,True,True,1
29,20,True,True,1
30,23,True,True,1
31,27,True,True,1
32,8,True,True,1
33,21,True,True,1
34,31,True,True,1
35,24,True,True,1
36,25,True,True,1
37,27,True,True,1
38,25,True,True,1
39,30,True,True,1
40,27,True,True,1
41,21,True,True,1
42,23,True,True,1
43,16,True,True,1
44,22,True,True,1
45,17,True,True,1
46,21,True,True,1
47,22,True,True,1
48,18,True,True,1
49,16,True,True,1
50,31,True,True,1
51,19,True,True,1
52,20,True,True,1
53,25,True,True,1
54,14,True,True,1
55,26,True,True,1
56,23,True,True,1
57,25,True,True,1
58,20,True,True,1
59,24,True,True,1
60,31,True,True,1
61,24,True,True,1
62,14,True,True,1
63,33,True,True,1
64,17,True,True,1
65,10,True,True,1
66,22,True,True,1
67,20,True,True,1
68,16,True,True,1
69,18,True,True,1
70,20,True,True,1
71,17,True,True,1
72,27,True,True,1
73,25,True,True,1
74,23,True,True,1
75,16,True,True,1
76,21,True,True,1
77,29,True,True,1
78,17,True,True,1
79,31,True,True,1
80,20,True,True,1
81,29,True,True,1
82,21,True,True,1
83,21,True,True,1
84,29,True,True,1
85,9,True,True,1
86,13,True,True,1
87,22,True,True,1
88,22,True,True,1
89,20,True,True,1
90,31,True,True,1
91,29,True,True,1
92,21,True,True,1
93,17,True,True,1
94,22,True,True,1
95,15,True,True,1
96,21,True,True,1
97,30,True,True,1
98,21,True,True,1
99,25,True,True,1
100,33,True,True,1
1,28,False,False,1
92,32,False,False,1
93,24,False,False,1
94,33,False,False,1
95,24,False,False,1
96,25,False,False,1
97,26,False,False,1
98,25,False,False,1
99,14,False,False,1
100,18,False,False,1
