run,k,n,method,step,time
test,14,20,CPP,MIP-solve,26.1
test,14,20,CPP,VS-build+solve,45.8
test,14,20,CPP,BDD-align-to-vs,190.9
test,14,20,CPP,intersection-build,24.9
test,14,20,CPP,intersection-SP-solve,4.8
test,15,20,gen_instance,all, 25.1
test,15,20,plain_MIP,build+solve,2.2
test,15,20,CPP,BDD-build,191.2
test,15,20,CPP,MIP-build,36.5
test,15,20,CPP,MIP-solve,20.1
test,15,20,CPP,VS-build+solve,19.8
test,15,20,CPP,BDD-align-to-vs,77.1
test,15,20,CPP,intersection-build,10.7
test,15,20,CPP,intersection-SP-solve,3.0
test,16,20,gen_instance,all, 14.3
test,16,20,plain_MIP,build+solve,4.2
test,16,20,CPP,BDD-build,449.5
test,16,20,CPP,MIP-build,67.0
test,16,20,CPP,MIP-solve,42.0
test,16,20,CPP,VS-build+solve,39.4
test,16,20,CPP,BDD-align-to-vs,205.5
test,16,20,CPP,intersection-build,26.1
test,16,20,CPP,intersection-SP-solve,3.8
test,17,20,gen_instance,all, 12.1
test,17,20,plain_MIP,build+solve,1.6
test,17,20,CPP,BDD-build,388.9
test,17,20,CPP,MIP-build,47.6
test,17,20,CPP,MIP-solve,22.4
test,17,20,CPP,VS-build+solve,49.9
test,17,20,CPP,BDD-align-to-vs,154.7
test,17,20,CPP,intersection-build,21.1
test,17,20,CPP,intersection-SP-solve,4.1
test,18,20,gen_instance,all, 12.1
test,18,20,plain_MIP,build+solve,1.7
test,18,20,CPP,BDD-build,160.7
test,18,20,CPP,MIP-build,36.2
test,18,20,CPP,MIP-solve,15.9
test,18,20,CPP,VS-build+solve,43.1
test,18,20,CPP,BDD-align-to-vs,107.9
test,18,20,CPP,intersection-build,7.5
test,18,20,CPP,intersection-SP-solve,0.9
test,19,20,gen_instance,all, 15.5
test,19,20,plain_MIP,build+solve,5.9
test,19,20,CPP,BDD-build,424.5
test,19,20,CPP,MIP-build,56.6
test,19,20,CPP,MIP-solve,29.5
test,19,20,CPP,VS-build+solve,49.6
test,19,20,CPP,BDD-align-to-vs,197.4
test,19,20,CPP,intersection-build,91.7
test,19,20,CPP,intersection-SP-solve,6.8
test,20,20,gen_instance,all, 12.8
test,20,20,plain_MIP,build+solve,2.3
test,20,20,CPP,BDD-build,188.0
