k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
327, optimal, 61.9, 4, 14.3, 100.0, 90.5, 3.1
328, optimal, 66.7, 6, 14.3, 76.2, 66.7, 4.0
329, optimal, 28.6, 12, 42.9, 71.4, 57.1, 3.1
330, optimal, 61.9, 8, 28.6, 95.2, 76.2, 3.1
331, optimal, 61.9, 2, 4.8, 76.2, 76.2, 3.1
332, optimal, 57.1, 2, 4.8, 85.7, 85.7, 2.9
333, optimal, 52.4, 4, 9.5, 66.7, 61.9, 3.0
334, optimal, 57.1, 2, 4.8, 66.7, 66.7, 5.4
335, optimal, 33.3, 4, 9.5, 28.6, 23.8, 4.3
336, optimal, 81.0, 16, 23.8, 100.0, 81.0, 4.1
337, optimal, 28.6, 12, 19.0, 76.2, 57.1, 3.4
338, optimal, 33.3, 2, 4.8, 42.9, 42.9, 4.2
339, optimal, 61.9, 8, 14.3, 81.0, 66.7, 3.0
340, optimal, 42.9, 14, 28.6, 95.2, 76.2, 3.2
341, optimal, 33.3, 48, 33.3, 57.1, 23.8, 2.8
342, optimal, 38.1, 48, 42.9, 66.7, 42.9, 2.3
343, optimal, 61.9, 2, 4.8, 66.7, 66.7, 3.2
344, optimal, 52.4, 5040, 100.0, 100.0, 0.0, 183.7
345, optimal, 33.3, 4, 9.5, 61.9, 52.4, 3.1
346, optimal, 38.1, 4, 9.5, 100.0, 90.5, 3.7
347, optimal, 61.9, 240, 52.4, 90.5, 38.1, 2.8
348, optimal, 47.6, 24, 28.6, 85.7, 57.1, 3.8
349, optimal, 52.4, 4, 9.5, 66.7, 61.9, 3.3
350, optimal, 38.1, 22, 61.9, 100.0, 47.6, 3.2
351, optimal, 66.7, 20, 52.4, 57.1, 9.5, 3.2
352, optimal, 66.7, 4, 9.5, 61.9, 57.1, 3.9
353, optimal, 57.1, 4, 9.5, 66.7, 57.1, 3.4
354, optimal, 38.1, 2, 4.8, 38.1, 38.1, 3.3
355, optimal, 33.3, 2, 4.8, 66.7, 66.7, 4.1
356, optimal, 42.9, 8, 19.0, 57.1, 38.1, 2.7
357, optimal, 38.1, 24, 23.8, 52.4, 28.6, 2.5
358, optimal, 66.7, 48, 33.3, 95.2, 61.9, 2.8
359, optimal, 38.1, 6, 57.1, 81.0, 57.1, 3.6
360, optimal, 47.6, 8, 19.0, 71.4, 61.9, 2.9
361, optimal, 81.0, 4, 9.5, 81.0, 76.2, 3.2
362, optimal, 47.6, 4, 9.5, 81.0, 71.4, 3.1
363, optimal, 66.7, 48, 33.3, 85.7, 52.4, 2.3
364, optimal, 66.7, 2, 4.8, 85.7, 85.7, 3.2
365, optimal, 57.1, 6, 14.3, 71.4, 57.1, 3.6
366, optimal, 85.7, 1, 0.0, 90.5, 90.5, 4.1
367, optimal, 52.4, 5, 19.0, 85.7, 71.4, 2.9
368, optimal, 52.4, 4, 9.5, 61.9, 57.1, 2.7
369, optimal, 57.1, 4, 14.3, 85.7, 76.2, 3.1
370, optimal, 52.4, 4, 9.5, 71.4, 66.7, 3.8
371, optimal, 47.6, 3, 9.5, 61.9, 57.1, 3.5
372, optimal, 47.6, 4, 9.5, 66.7, 61.9, 3.7
373, optimal, 66.7, 22, 42.9, 90.5, 61.9, 2.9
374, optimal, 76.2, 96, 42.9, 100.0, 61.9, 2.4
375, optimal, 61.9, 48, 33.3, 90.5, 57.1, 2.8
376, optimal, 71.4, 4, 9.5, 85.7, 76.2, 3.1
377, optimal, 85.7, 4, 9.5, 100.0, 95.2, 4.0
378, optimal, 61.9, 12, 23.8, 85.7, 61.9, 3.2
379, optimal, 52.4, 4, 9.5, 71.4, 61.9, 3.1
380, optimal, 33.3, 4, 9.5, 76.2, 71.4, 4.0
381, optimal, 52.4, 1, 0.0, 71.4, 71.4, 3.3
382, optimal, 38.1, 4, 9.5, 90.5, 85.7, 3.4
383, optimal, 42.9, 40, 52.4, 81.0, 52.4, 2.8
384, optimal, 47.6, 48, 33.3, 71.4, 38.1, 2.3
385, optimal, 38.1, 6, 14.3, 81.0, 71.4, 3.9
386, optimal, 76.2, 720, 71.4, 100.0, 28.6, 6.7
387, optimal, 71.4, 4, 14.3, 66.7, 52.4, 4.0
388, optimal, 66.7, 2, 4.8, 85.7, 85.7, 2.8
389, optimal, 71.4, 12, 19.0, 90.5, 71.4, 2.5
390, optimal, 66.7, 720, 71.4, 100.0, 28.6, 5.7
391, optimal, 47.6, 2, 4.8, 61.9, 61.9, 3.9
392, optimal, 52.4, 49, 61.9, 61.9, 33.3, 3.1
393, optimal, 57.1, 8, 14.3, 90.5, 81.0, 3.5
394, optimal, 52.4, 8, 19.0, 76.2, 57.1, 4.0
395, optimal, 47.6, 24, 28.6, 76.2, 47.6, 2.5
396, optimal, 47.6, 240, 52.4, 85.7, 33.3, 2.5
397, optimal, 28.6, 8, 14.3, 76.2, 66.7, 2.7
398, optimal, 52.4, 7, 47.6, 90.5, 57.1, 3.7
399, optimal, 52.4, 4, 9.5, 100.0, 95.2, 4.2
400, optimal, 33.3, 1, 0.0, 47.6, 47.6, 3.5
401, optimal, 66.7, 8, 19.0, 95.2, 81.0, 2.9
402, optimal, 28.6, 2, 4.8, 57.1, 57.1, 3.0
403, optimal, 9.5, 2, 4.8, 38.1, 38.1, 3.4
404, optimal, 61.9, 18, 28.6, 90.5, 66.7, 3.5
405, optimal, 42.9, 2, 4.8, 47.6, 47.6, 4.9
406, optimal, 42.9, 36, 28.6, 76.2, 47.6, 2.4
407, optimal, 38.1, 96, 42.9, 95.2, 57.1, 2.4
408, optimal, 47.6, 8, 19.0, 85.7, 71.4, 4.3
409, optimal, 52.4, 12, 19.0, 81.0, 61.9, 2.9
410, optimal, 57.1, 4, 14.3, 76.2, 66.7, 3.3
411, optimal, 47.6, 2, 4.8, 66.7, 66.7, 3.5
412, optimal, 66.7, 2, 4.8, 66.7, 66.7, 2.9
413, optimal, 42.9, 24, 23.8, 81.0, 57.1, 2.6
414, optimal, 23.8, 240, 52.4, 76.2, 23.8, 2.6
415, optimal, 47.6, 3, 28.6, 85.7, 71.4, 3.2
416, optimal, 28.6, 38, 52.4, 76.2, 28.6, 3.3
417, optimal, 81.0, 12, 28.6, 100.0, 71.4, 3.8
418, optimal, 66.7, 3, 23.8, 95.2, 76.2, 3.7
419, optimal, 57.1, 8, 19.0, 61.9, 52.4, 3.3
420, optimal, 42.9, 6, 14.3, 76.2, 61.9, 3.5
421, optimal, 61.9, 8, 19.0, 81.0, 66.7, 3.3
