instance,num_type,step,LB,UB,comment
82,steplog,10,272,439,--none--
82,steplog,20,303,373,--none--
82,steplog,30,349,367,--none--
82,steplog,40,367,367,--none--
82,steplog,42,367,367,status:optimal
82,timelog,42,0.2216808795928955,0,--none--
83,steplog,10,161,224,--none--
83,steplog,20,161,219,--none--
83,steplog,30,161,207,--none--
83,steplog,40,179,207,--none--
83,steplog,50,179,207,--none--
83,steplog,60,195,207,--none--
83,steplog,67,207,207,status:optimal
83,timelog,67,0.4079093933105469,0,--none--
84,steplog,10,147,252,--none--
84,steplog,20,210,252,--none--
84,steplog,30,250,250,--none--
84,steplog,32,250,250,status:optimal
84,timelog,32,0.1691758632659912,0,--none--
85,steplog,10,111,197,--none--
85,steplog,20,131,197,--none--
85,steplog,30,131,191,--none--
85,steplog,40,147,179,--none--
85,steplog,50,172,172,--none--
85,steplog,54,172,172,status:optimal
85,timelog,54,0.248274564743042,0,--none--
86,steplog,10,160,167,--none--
86,steplog,19,166,166,status:optimal
86,timelog,19,0.0859823226928711,0,--none--
87,steplog,10,171,286,--none--
87,steplog,20,171,264,--none--
87,steplog,30,199,247,--none--
87,steplog,40,199,247,--none--
87,steplog,50,233,239,--none--
87,steplog,54,239,239,status:optimal
87,timelog,54,0.22192597389221191,0,--none--
