n, instance, PREORDER, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, int_cov2col_gsifts, int_col2cov_gsifts, plain_MIP_vars, plain_MIP_constrs, exp_time
17, 1-36, True, 81, 236, 938, 1169, 895, 634, 634, 17, 20, 5.2
17, 1-36, False, 81, 236, 970, 4819, 895, 634, 634, 17, 20, 10.7
17, 1-37, True, 66, 148, 541, 522, 562, 357, 357, 17, 23, 4.4
17, 1-37, False, 66, 148, 625, 2168, 561, 357, 357, 17, 23, 8.9
17, 1-38, True, 81, 292, 1642, 1139, 1792, 743, 743, 17, 19, 7.0
17, 1-38, False, 81, 292, 1169, 1557, 1792, 743, 743, 17, 19, 14.1
17, 1-39, True, 43, 173, 504, 921, 513, 281, 281, 17, 25, 4.6
17, 1-39, False, 43, 173, 703, 2142, 427, 281, 281, 17, 25, 9.4
17, 1-40, True, 88, 208, 1112, 1168, 1112, 655, 655, 17, 19, 6.2
17, 1-40, False, 88, 208, 1251, 2011, 1112, 655, 655, 17, 19, 12.7
17, 1-41, True, 57, 360, 916, 1131, 841, 560, 560, 17, 26, 7.7
17, 1-41, False, 57, 360, 836, 2625, 841, 560, 560, 17, 26, 15.5
17, 1-42, True, 73, 303, 1340, 1111, 1536, 603, 603, 17, 23, 7.7
17, 1-42, False, 73, 303, 1070, 1693, 1288, 603, 603, 17, 23, 15.6
17, 1-43, True, 61, 450, 1512, 1490, 1515, 934, 934, 17, 25, 8.8
17, 1-43, False, 61, 450, 1530, 4058, 1515, 934, 934, 17, 25, 18.1
17, 1-44, True, 41, 426, 1644, 1081, 1715, 652, 652, 17, 23, 8.2
17, 1-44, False, 42, 426, 1348, 4135, 1457, 652, 652, 17, 23, 16.9
17, 1-45, True, 60, 462, 1392, 1613, 1432, 731, 731, 17, 25, 7.4
17, 1-45, False, 60, 462, 1061, 2109, 1238, 731, 731, 17, 25, 14.9
17, 1-46, True, 82, 272, 1381, 1381, 1177, 751, 751, 17, 19, 5.8
17, 1-46, False, 82, 272, 1676, 5122, 1102, 751, 751, 17, 19, 12.3
17, 1-47, True, 81, 289, 1060, 1048, 1060, 715, 715, 17, 24, 6.0
17, 1-47, False, 81, 289, 991, 4196, 1060, 715, 715, 17, 24, 12.8
17, 1-48, True, 108, 419, 2786, 2403, 2509, 976, 976, 17, 20, 9.7
17, 1-48, False, 108, 419, 2049, 4564, 1774, 976, 976, 17, 20, 19.5
17, 1-49, True, 73, 294, 1136, 1061, 1140, 749, 749, 17, 22, 6.4
17, 1-49, False, 73, 294, 1205, 6086, 1140, 749, 749, 17, 22, 13.3
17, 2-0, True, 74, 148, 753, 757, 747, 458, 458, 17, 21, 4.7
17, 2-0, False, 74, 148, 629, 3490, 718, 458, 458, 17, 21, 9.8
17, 2-1, True, 92, 136, 672, 1224, 1125, 481, 481, 17, 24, 4.7
17, 2-1, False, 92, 136, 690, 2124, 1107, 481, 481, 17, 24, 9.8
17, 2-2, True, 66, 261, 915, 937, 945, 655, 655, 17, 20, 5.5
17, 2-2, False, 66, 261, 840, 2536, 922, 655, 655, 17, 20, 11.2
17, 2-3, True, 56, 305, 1062, 3767, 1062, 599, 599, 17, 20, 6.0
17, 2-3, False, 56, 305, 907, 1817, 1062, 599, 599, 17, 20, 12.2
17, 2-4, True, 45, 202, 482, 615, 481, 251, 251, 17, 24, 5.6
17, 2-4, False, 45, 202, 395, 1091, 479, 251, 251, 17, 24, 11.3
17, 2-5, True, 56, 504, 1423, 1092, 1915, 1030, 1030, 17, 25, 9.0
17, 2-5, False, 56, 504, 1408, 2963, 1828, 1030, 1030, 17, 25, 18.2
17, 2-6, True, 54, 263, 846, 1294, 848, 492, 492, 17, 21, 6.2
17, 2-6, False, 54, 263, 1477, 3686, 791, 492, 492, 17, 21, 12.7
17, 2-7, True, 112, 276, 1099, 1313, 1375, 873, 873, 17, 22, 6.6
17, 2-7, False, 112, 276, 1791, 3105, 1375, 873, 873, 17, 22, 13.7
17, 2-8, True, 60, 246, 1039, 874, 1043, 590, 590, 17, 26, 6.0
17, 2-8, False, 60, 246, 1189, 4086, 1043, 590, 590, 17, 26, 12.7
17, 2-9, True, 60, 270, 866, 959, 880, 519, 519, 17, 25, 7.4
17, 2-9, False, 60, 270, 926, 5264, 880, 519, 519, 17, 25, 15.3
17, 2-10, True, 50, 245, 663, 792, 743, 460, 460, 17, 22, 5.1
17, 2-10, False, 50, 245, 948, 4476, 637, 460, 460, 17, 22, 10.5
17, 2-11, True, 72, 280, 1087, 1547, 1097, 660, 660, 17, 23, 5.8
17, 2-11, False, 72, 280, 1086, 2885, 1126, 661, 661, 17, 23, 12.0
17, 2-12, True, 58, 203, 829, 627, 829, 387, 387, 17, 23, 5.7
17, 2-12, False, 58, 203, 1028, 3862, 819, 387, 387, 17, 23, 12.2
17, 2-13, True, 87, 174, 718, 1197, 903, 637, 637, 17, 21, 5.5
17, 2-13, False, 87, 174, 1185, 5461, 863, 637, 637, 17, 21, 11.2
17, 2-14, True, 44, 290, 866, 2788, 869, 525, 525, 17, 24, 6.4
17, 2-14, False, 44, 290, 825, 4372, 785, 525, 525, 17, 24, 12.9
17, 2-15, True, 86, 329, 1786, 1454, 1896, 763, 763, 17, 22, 7.0
17, 2-15, False, 86, 329, 1903, 3771, 1771, 763, 763, 17, 22, 14.2
17, 2-16, True, 81, 179, 942, 1668, 795, 453, 453, 17, 22, 5.2
17, 2-16, False, 81, 179, 769, 3361, 662, 453, 453, 17, 22, 11.0
17, 2-17, True, 76, 344, 1750, 1270, 1750, 990, 990, 17, 21, 7.5
17, 2-17, False, 76, 344, 1535, 5253, 1686, 990, 990, 17, 21, 16.0
17, 2-18, True, 68, 263, 1159, 1482, 1152, 808, 808, 17, 25, 5.3
17, 2-18, False, 68, 263, 1176, 4587, 1152, 808, 808, 17, 25, 11.3
17, 2-19, True, 64, 261, 904, 904, 939, 675, 675, 17, 19, 5.1
17, 2-19, False, 64, 261, 1689, 6482, 959, 675, 675, 17, 19, 11.0
17, 2-20, True, 88, 122, 511, 1610, 535, 354, 354, 17, 24, 5.0
17, 2-20, False, 88, 122, 783, 6002, 528, 354, 354, 17, 24, 10.7
17, 2-21, True, 160, 227, 1125, 1125, 1669, 941, 941, 17, 19, 5.7
17, 2-21, False, 160, 227, 1164, 4259, 1561, 941, 941, 17, 19, 11.7
17, 2-22, True, 70, 427, 1583, 1665, 1512, 978, 978, 17, 24, 8.6
17, 2-22, False, 70, 427, 1361, 5384, 1513, 978, 978, 17, 24, 18.0
17, 2-23, True, 65, 264, 819, 865, 895, 631, 631, 17, 26, 5.0
17, 2-23, False, 63, 265, 996, 2407, 895, 629, 629, 17, 26, 10.5
17, 2-24, True, 67, 221, 705, 783, 723, 439, 439, 17, 22, 5.3
17, 2-24, False, 67, 221, 1035, 5638, 681, 439, 439, 17, 22, 11.5
17, 2-25, True, 86, 303, 1522, 1638, 1740, 743, 743, 17, 20, 6.3
17, 2-25, False, 86, 303, 2519, 5609, 1498, 743, 743, 17, 20, 13.2
17, 2-26, True, 38, 247, 525, 565, 487, 312, 312, 17, 21, 5.4
17, 2-26, False, 38, 247, 940, 2828, 490, 312, 312, 17, 21, 11.5
17, 2-27, True, 55, 295, 993, 1054, 941, 553, 553, 17, 21, 6.4
17, 2-27, False, 55, 295, 843, 1399, 948, 553, 553, 17, 21, 13.2
17, 2-28, True, 103, 424, 1664, 2501, 1668, 970, 970, 17, 19, 9.7
17, 2-28, False, 103, 424, 1483, 2930, 1668, 970, 970, 17, 19, 19.5
17, 2-29, True, 85, 205, 956, 945, 956, 631, 631, 17, 19, 5.0
17, 2-29, False, 85, 205, 1088, 1836, 948, 631, 631, 17, 19, 10.0
17, 2-30, True, 140, 252, 815, 1166, 911, 712, 712, 17, 23, 6.8
17, 2-30, False, 140, 252, 990, 4409, 871, 712, 712, 17, 23, 14.0
17, 2-31, True, 86, 455, 2175, 2012, 2175, 1128, 1128, 17, 19, 8.1
17, 2-31, False, 86, 455, 2276, 6914, 2146, 1128, 1128, 17, 19, 17.3
17, 2-32, True, 55, 290, 909, 868, 841, 612, 612, 17, 24, 6.1
17, 2-32, False, 55, 290, 966, 3048, 824, 612, 612, 17, 24, 12.8
17, 2-33, True, 31, 275, 730, 1246, 793, 302, 302, 17, 25, 6.1
17, 2-33, False, 31, 275, 785, 4695, 613, 302, 302, 17, 25, 12.5
17, 2-34, True, 74, 264, 1309, 1309, 1319, 671, 671, 17, 19, 7.0
17, 2-34, False, 74, 264, 1406, 4528, 1354, 671, 671, 17, 19, 15.0
17, 2-35, True, 48, 354, 812, 879, 794, 441, 441, 17, 23, 7.4
17, 2-35, False, 48, 354, 771, 2338, 794, 441, 441, 17, 23, 15.2
17, 2-36, True, 79, 337, 1434, 1409, 1358, 826, 826, 17, 23, 7.0
17, 2-36, False, 79, 337, 1258, 2909, 1358, 826, 826, 17, 23, 14.3
17, 2-37, True, 67, 199, 776, 750, 913, 531, 531, 17, 22, 5.3
17, 2-37, False, 67, 199, 848, 9133, 836, 531, 531, 17, 22, 11.7
17, 2-38, True, 104, 314, 887, 945, 1003, 694, 694, 17, 20, 7.9
17, 2-38, False, 104, 314, 1313, 6590, 996, 694, 694, 17, 20, 16.6
17, 2-39, True, 36, 426, 829, 2009, 762, 526, 526, 17, 23, 8.9
17, 2-39, False, 36, 426, 923, 2939, 858, 526, 526, 17, 23, 17.8
17, 2-40, True, 54, 122, 821, 1504, 812, 247, 247, 17, 22, 5.1
17, 2-40, False, 54, 122, 468, 5259, 469, 247, 247, 17, 22, 10.9
17, 2-41, True, 79, 243, 768, 660, 837, 478, 478, 17, 24, 5.4
17, 2-41, False, 79, 243, 862, 6430, 827, 478, 478, 17, 24, 11.5
17, 2-42, True, 41, 222, 521, 1088, 530, 381, 381, 17, 25, 4.9
17, 2-42, False, 41, 222, 724, 4778, 489, 381, 381, 17, 25, 10.6
17, 2-43, True, 112, 215, 775, 3458, 780, 495, 495, 17, 21, 6.3
17, 2-43, False, 110, 217, 1371, 2810, 667, 495, 495, 17, 21, 12.8
17, 2-44, True, 58, 310, 889, 896, 901, 585, 585, 17, 25, 5.5
17, 2-44, False, 58, 310, 942, 2336, 901, 585, 585, 17, 25, 11.4
17, 2-45, True, 137, 213, 1047, 1338, 1154, 697, 697, 17, 19, 6.1
17, 2-45, False, 137, 213, 1042, 4662, 1170, 697, 697, 17, 19, 12.6
17, 2-46, True, 91, 300, 694, 1289, 732, 505, 505, 17, 19, 6.6
17, 2-46, False, 91, 300, 915, 6968, 727, 505, 505, 17, 19, 14.1
17, 2-47, True, 68, 195, 966, 1252, 1016, 547, 547, 17, 23, 4.5
17, 2-47, False, 68, 195, 1175, 1687, 984, 547, 547, 17, 23, 9.3
17, 2-48, True, 101, 207, 884, 1025, 962, 605, 605, 17, 21, 5.2
17, 2-48, False, 101, 207, 950, 5242, 753, 605, 605, 17, 21, 10.8
17, 2-49, True, 50, 301, 867, 1041, 909, 567, 567, 17, 25, 5.7
17, 2-49, False, 50, 301, 896, 2337, 841, 567, 567, 17, 25, 11.3
17, 3-0, True, 41, 298, 723, 919, 782, 478, 478, 17, 25, 6.4
17, 3-0, False, 41, 298, 917, 4681, 654, 478, 478, 17, 25, 13.4
17, 3-1, True, 126, 357, 1572, 1579, 1745, 1130, 1130, 17, 21, 7.5
17, 3-1, False, 126, 357, 1452, 5174, 1745, 1130, 1130, 17, 21, 15.8
17, 3-2, True, 74, 222, 698, 699, 837, 584, 584, 17, 22, 5.6
17, 3-2, False, 74, 222, 1717, 5583, 821, 584, 584, 17, 22, 12.0
17, 3-3, True, 52, 259, 840, 1176, 844, 479, 479, 17, 23, 5.4
17, 3-3, False, 52, 259, 732, 3564, 699, 479, 479, 17, 23, 11.2
17, 3-4, True, 48, 268, 680, 840, 871, 530, 530, 17, 22, 6.6
17, 3-4, False, 48, 268, 763, 3511, 820, 530, 530, 17, 22, 13.4
17, 3-5, True, 69, 193, 681, 1327, 885, 350, 350, 17, 21, 6.0
17, 3-5, False, 69, 193, 1207, 4325, 1164, 350, 350, 17, 21, 12.9
17, 3-6, True, 42, 209, 588, 2833, 586, 386, 386, 17, 25, 5.3
17, 3-6, False, 42, 209, 650, 2937, 555, 386, 386, 17, 25, 11.0
17, 3-7, True, 54, 281, 1833, 1463, 2038, 741, 741, 17, 24, 7.1
17, 3-7, False, 54, 281, 1416, 4346, 1641, 741, 741, 17, 24, 14.9
