instance,num_type,step,LB,UB,comment
374,steplog,10,587,1072,--none--
374,steplog,20,587,1040,--none--
374,steplog,30,587,1040,--none--
374,steplog,40,587,1040,--none--
374,steplog,50,587,1039,--none--
374,steplog,60,587,1020,--none--
374,steplog,70,587,1020,--none--
374,steplog,80,587,1020,--none--
374,steplog,90,587,1014,--none--
374,steplog,100,587,1014,--none--
374,steplog,110,650,1014,--none--
374,steplog,120,804,995,--none--
374,steplog,130,804,963,--none--
374,steplog,140,804,963,--none--
374,steplog,150,804,963,--none--
374,steplog,160,876,962,--none--
374,steplog,170,876,943,--none--
374,steplog,180,876,943,--none--
374,steplog,190,903,943,--none--
374,steplog,200,924,937,--none--
374,steplog,210,928,937,--none--
374,steplog,218,937,937,status:optimal
374,timelog,218,0.6509897708892822,0,--none--
3750,steplog,10,825,1564,--none--
3750,steplog,20,825,1564,--none--
3750,steplog,30,825,1562,--none--
3750,steplog,40,825,1561,--none--
3750,steplog,50,825,1522,--none--
3750,steplog,60,825,1522,--none--
3750,steplog,70,825,1521,--none--
3750,steplog,80,825,1519,--none--
3750,steplog,90,1090,1332,--none--
3750,steplog,100,1214,1332,--none--
3750,steplog,110,1259,1330,--none--
3750,steplog,120,1259,1330,--none--
3750,steplog,130,1259,1329,--none--
3750,steplog,140,1264,1310,--none--
3750,steplog,150,1264,1309,--none--
3750,steplog,160,1276,1290,--none--
3750,steplog,170,1276,1290,--none--
3750,steplog,180,1276,1289,--none--
3750,steplog,190,1287,1287,--none--
3750,steplog,192,1287,1287,status:optimal
3750,timelog,192,0.5946919918060303,0,--none--
3751,steplog,10,833,1671,--none--
3751,steplog,20,833,1671,--none--
3751,steplog,30,833,1521,--none--
3751,steplog,40,833,1502,--none--
3751,steplog,50,833,1502,--none--
3751,steplog,60,833,1502,--none--
3751,steplog,70,833,1443,--none--
3751,steplog,80,833,1443,--none--
3751,steplog,90,833,1424,--none--
3751,steplog,100,1094,1424,--none--
3751,steplog,110,1094,1424,--none--
3751,steplog,120,1289,1415,--none--
3751,steplog,130,1385,1396,--none--
3751,steplog,140,1396,1396,--none--
3751,steplog,140,1396,1396,status:optimal
3751,timelog,140,0.38143205642700195,0,--none--
3752,steplog,10,261,868,--none--
3752,steplog,20,261,840,--none--
3752,steplog,30,261,836,--none--
3752,steplog,40,261,836,--none--
3752,steplog,50,261,822,--none--
3752,steplog,60,261,819,--none--
3752,steplog,70,261,786,--none--
3752,steplog,80,261,782,--none--
3752,steplog,90,261,768,--none--
3752,steplog,100,261,765,--none--
3752,steplog,110,261,765,--none--
3752,steplog,120,261,765,--none--
3752,steplog,130,261,760,--none--
3752,steplog,140,261,746,--none--
3752,steplog,150,261,743,--none--
3752,steplog,160,261,742,--none--
3752,steplog,170,261,700,--none--
3752,steplog,180,261,696,--none--
3752,steplog,190,261,693,--none--
3752,steplog,200,261,682,--none--
3752,steplog,210,261,679,--none--
3752,steplog,220,261,679,--none--
3752,steplog,230,261,679,--none--
3752,steplog,240,261,679,--none--
3752,steplog,250,261,679,--none--
3752,steplog,260,261,679,--none--
3752,steplog,270,416,654,--none--
3752,steplog,280,416,644,--none--
3752,steplog,290,416,640,--none--
3752,steplog,300,416,640,--none--
3752,steplog,310,416,637,--none--
3752,steplog,320,416,637,--none--
3752,steplog,330,416,633,--none--
3752,steplog,340,445,633,--none--
3752,steplog,350,576,633,--none--
3752,steplog,360,576,633,--none--
3752,steplog,370,576,633,--none--
3752,steplog,380,576,631,--none--
3752,steplog,390,611,630,--none--
3752,steplog,400,625,627,--none--
3752,steplog,404,627,627,status:optimal
3752,timelog,404,0.9427876472473145,0,--none--
3753,steplog,10,497,6690,--none--
3753,steplog,20,497,6690,--none--
3753,steplog,30,1208,2379,--none--
3753,steplog,40,1208,2365,--none--
3753,steplog,50,1208,2360,--none--
3753,steplog,60,1208,2360,--none--
3753,steplog,70,1208,2228,--none--
3753,steplog,80,1208,2228,--none--
3753,steplog,90,1208,2228,--none--
3753,steplog,100,1208,2228,--none--
3753,steplog,110,1208,2040,--none--
3753,steplog,120,1208,2040,--none--
3753,steplog,130,1208,1988,--none--
3753,steplog,140,1208,1988,--none--
3753,steplog,150,1208,1988,--none--
3753,steplog,160,1208,1988,--none--
3753,steplog,170,1573,1988,--none--
3753,steplog,180,1573,1988,--none--
3753,steplog,190,1573,1988,--none--
3753,steplog,200,1712,1948,--none--
3753,steplog,210,1712,1948,--none--
3753,steplog,220,1923,1948,--none--
3753,steplog,230,1948,1948,--none--
3753,steplog,231,1948,1948,status:optimal
3753,timelog,231,0.5625708103179932,0,--none--
3754,steplog,10,757,2950,--none--
3754,steplog,20,757,2950,--none--
3754,steplog,30,757,2939,--none--
3754,steplog,40,757,2939,--none--
3754,steplog,50,757,2930,--none--
3754,steplog,60,757,2930,--none--
3754,steplog,70,757,2930,--none--
3754,steplog,80,757,2930,--none--
3754,steplog,90,757,2877,--none--
3754,steplog,100,757,2812,--none--
3754,steplog,110,757,2809,--none--
3754,steplog,120,757,2809,--none--
3754,steplog,130,757,2800,--none--
3754,steplog,140,757,2800,--none--
3754,steplog,150,757,2800,--none--
3754,steplog,160,757,2763,--none--
3754,steplog,170,757,2763,--none--
3754,steplog,180,757,2754,--none--
3754,steplog,190,757,2754,--none--
3754,steplog,200,757,2754,--none--
3754,steplog,210,757,2754,--none--
3754,steplog,220,757,2754,--none--
3754,steplog,230,757,2713,--none--
3754,steplog,240,757,2713,--none--
3754,steplog,250,757,2704,--none--
3754,steplog,260,757,2704,--none--
3754,steplog,270,757,2704,--none--
3754,steplog,280,757,2704,--none--
3754,steplog,290,1420,2704,--none--
3754,steplog,300,1537,2352,--none--
3754,steplog,310,1886,2280,--none--
3754,steplog,320,1886,2214,--none--
3754,steplog,330,1886,2211,--none--
3754,steplog,340,1886,2211,--none--
3754,steplog,350,1886,2202,--none--
3754,steplog,360,1886,2202,--none--
3754,steplog,370,1971,2202,--none--
3754,steplog,380,1971,2202,--none--
3754,steplog,390,1971,2202,--none--
3754,steplog,400,2106,2168,--none--
3754,steplog,410,2106,2168,--none--
3754,steplog,420,2131,2165,--none--
3754,steplog,430,2131,2165,--none--
3754,steplog,440,2143,2156,--none--
3754,steplog,450,2156,2156,--none--
3754,steplog,451,2156,2156,status:optimal
3754,timelog,451,1.089313268661499,0,--none--
