instance,num_type,step,LB,UB,comment
1026,steplog,50,944,1001,--none--
1026,steplog,60,966,981,--none--
1026,steplog,70,977,981,--none--
1026,steplog,75,981,981,status:optimal
1026,timelog,75,0.1805107593536377,0,--none--
1027,steplog,10,485,571,--none--
1027,steplog,20,537,550,--none--
1027,steplog,25,549,549,status:optimal
1027,timelog,25,0.055030107498168945,0,--none--
1028,steplog,10,882,1022,--none--
1028,steplog,20,947,1014,--none--
1028,steplog,30,972,997,--none--
1028,steplog,40,985,997,--none--
1028,steplog,50,989,992,--none--
1028,steplog,56,991,991,status:optimal
1028,timelog,56,0.11907958984375,0,--none--
1029,steplog,10,1164,1375,--none--
1029,steplog,20,1266,1304,--none--
1029,steplog,30,1288,1295,--none--
1029,steplog,36,1295,1295,status:optimal
1029,timelog,36,0.0760354995727539,0,--none--
102,steplog,10,448,542,--none--
102,steplog,20,512,534,--none--
102,steplog,30,518,521,--none--
102,steplog,32,520,520,status:optimal
102,timelog,32,0.16541028022766113,0,--none--
1030,steplog,10,701,890,--none--
1030,steplog,20,812,855,--none--
1030,steplog,30,827,855,--none--
1030,steplog,40,839,854,--none--
1030,steplog,50,849,854,--none--
1030,steplog,55,854,854,status:optimal
1030,timelog,55,0.11215424537658691,0,--none--
1031,steplog,10,502,566,--none--
1031,steplog,20,524,539,--none--
1031,steplog,30,525,539,--none--
1031,steplog,40,529,539,--none--
1031,steplog,50,535,538,--none--
1031,steplog,59,538,538,status:optimal
1031,timelog,59,0.11913847923278809,0,--none--
1032,steplog,10,1284,1614,--none--
1032,steplog,20,1498,1614,--none--
1032,steplog,28,1614,1614,status:optimal
1032,timelog,28,0.06421542167663574,0,--none--
1033,steplog,10,722,887,--none--
1033,steplog,20,799,864,--none--
1033,steplog,30,830,864,--none--
1033,steplog,40,849,851,--none--
1033,steplog,41,851,851,status:optimal
1033,timelog,41,0.08683323860168457,0,--none--
1034,steplog,10,1893,2298,--none--
1034,steplog,20,2193,2266,--none--
1034,steplog,30,2241,2246,--none--
1034,steplog,31,2246,2246,status:optimal
1034,timelog,31,0.0715327262878418,0,--none--
1035,steplog,10,1083,1194,--none--
1035,steplog,20,1124,1158,--none--
1035,steplog,30,1136,1150,--none--
1035,steplog,40,1144,1150,--none--
1035,steplog,49,1148,1148,status:optimal
1035,timelog,49,0.10159039497375488,0,--none--
1036,steplog,10,580,640,--none--
1036,steplog,20,617,619,--none--
1036,steplog,23,619,619,status:optimal
1036,timelog,23,0.04631185531616211,0,--none--
1037,steplog,10,1614,1704,--none--
1037,steplog,20,1679,1691,--none--
