t_toA, intsize_toA, t_VS, intsize_VS
1.08, 5279,0.32, 6307
0.17, 3471,0.20, 1012
0.46, 9823,0.10, 1663
1.29, 6391,0.34, 9015
1.69, 6667,0.51, 26143
0.80, 15635,0.25, 3695
1.13, 9375,0.18, 1832
1.04, 14591,0.37, 8663
0.35, 5269,0.20, 2041
0.70, 6583,0.23, 6207
0.35, 4818,0.23, 4039
0.95, 19783,0.35, 5967
0.13, 1511,0.16, 1679
1.05, 11923,0.30, 10461
0.68, 4935,0.28, 10495
0.65, 5787,0.34, 10315
0.53, 7135,0.26, 4815
0.73, 6345,0.30, 3839
1.91, 10751,0.17, 4191
0.23, 2727,0.18, 2263
0.37, 2942,0.17, 3571
1.44, 32427,0.23, 3883
0.63, 10007,0.26, 4399
1.60, 32984,0.21, 7264
1.12, 11047,0.29, 6627
1.15, 16647,0.38, 11647
0.31, 6732,0.20, 1016
0.10, 2007,0.19, 1207
0.29, 2315,0.27, 7437
0.57, 5783,0.39, 3221
1.40, 26395,0.42, 7907
2.26, 10741,0.59, 26335
0.44, 8767,0.13, 2447
1.38, 22911,0.22, 5727
1.01, 18635,0.21, 2865
1.27, 9154,0.20, 7529
0.33, 4245,0.12, 1855
3.59, 37387,0.26, 6099
0.13, 1283,0.11, 1521
2.03, 24049,0.73, 54908
0.22, 3103,0.19, 2111
0.71, 7995,0.33, 12799
0.73, 10555,0.57, 11251
0.32, 4746,0.19, 2498
0.36, 2439,0.21, 2419
1.73, 19711,0.40, 9471
0.24, 4559,0.23, 1823
1.10, 4341,0.62, 37087
0.57, 7439,0.37, 6055
0.09, 2023,0.20, 2075
1.47, 4831,0.49, 22735
