run,k,n,method,step,time
test,10,5,CPP,MIP-build,2.3
test,10,5,CPP,MIP-solve,0.3
test,10,5,CPP,VS-build+solve,0.8
test,10,5,CPP,BDD-align-to-vs,1.9
test,10,5,CPP,intersection-build,0.1
test,10,5,CPP,intersection-SP-solve,0.0
test,10,5,CPP,BDD-align-gsifts,10.6
test,10,5,CPP,intersection-gsifts-build,0.1
test,10,5,CPP,intersection-gsifts-SP-solve,0.0
test,11,5,gen_instance,all, 2.0
test,11,5,plain_MIP,build+solve,0.7
test,11,5,CPP,BDD-build,4.6
test,11,5,CPP,MIP-build,2.3
test,11,5,CPP,MIP-solve,0.3
test,11,5,CPP,VS-build+solve,0.6
test,11,5,CPP,BDD-align-to-vs,1.2
test,11,5,CPP,intersection-build,0.1
test,11,5,CPP,intersection-SP-solve,0.0
test,11,5,CPP,BDD-align-gsifts,11.2
test,11,5,CPP,intersection-gsifts-build,0.1
test,11,5,CPP,intersection-gsifts-SP-solve,0.0
test,12,5,gen_instance,all, 1.9
test,12,5,plain_MIP,build+solve,0.4
test,12,5,CPP,BDD-build,2.6
test,12,5,CPP,MIP-build,1.3
test,12,5,CPP,MIP-solve,0.3
test,12,5,CPP,VS-build+solve,0.4
test,12,5,CPP,BDD-align-to-vs,1.0
test,12,5,CPP,intersection-build,0.1
test,12,5,CPP,intersection-SP-solve,0.0
test,12,5,CPP,BDD-align-gsifts,14.6
test,12,5,CPP,intersection-gsifts-build,0.1
test,12,5,CPP,intersection-gsifts-SP-solve,0.0
test,13,5,gen_instance,all, 2.1
test,13,5,plain_MIP,build+solve,0.4
test,13,5,CPP,BDD-build,2.8
test,13,5,CPP,MIP-build,1.3
test,13,5,CPP,MIP-solve,0.5
test,13,5,CPP,VS-build+solve,0.6
test,13,5,CPP,BDD-align-to-vs,1.0
test,13,5,CPP,intersection-build,0.1
test,13,5,CPP,intersection-SP-solve,0.0
test,13,5,CPP,BDD-align-gsifts,13.8
test,13,5,CPP,intersection-gsifts-build,0.1
test,13,5,CPP,intersection-gsifts-SP-solve,0.0
test,14,5,gen_instance,all, 2.1
test,14,5,plain_MIP,build+solve,0.8
test,14,5,CPP,BDD-build,2.8
test,14,5,CPP,MIP-build,1.3
test,14,5,CPP,MIP-solve,0.3
test,14,5,CPP,VS-build+solve,0.5
test,14,5,CPP,BDD-align-to-vs,1.1
test,14,5,CPP,intersection-build,0.1
test,14,5,CPP,intersection-SP-solve,0.0
test,14,5,CPP,BDD-align-gsifts,12.3
test,14,5,CPP,intersection-gsifts-build,0.1
test,14,5,CPP,intersection-gsifts-SP-solve,0.0
test,15,5,gen_instance,all, 1.8
test,15,5,plain_MIP,build+solve,0.5
test,15,5,CPP,BDD-build,3.0
test,15,5,CPP,MIP-build,1.4
test,15,5,CPP,MIP-solve,0.3
test,15,5,CPP,VS-build+solve,1.3
test,15,5,CPP,BDD-align-to-vs,2.0
test,15,5,CPP,intersection-build,0.1
test,15,5,CPP,intersection-SP-solve,0.0
test,15,5,CPP,BDD-align-gsifts,13.0
test,15,5,CPP,intersection-gsifts-build,0.1
test,15,5,CPP,intersection-gsifts-SP-solve,0.0
test,16,5,gen_instance,all, 2.5
test,16,5,plain_MIP,build+solve,1.0
test,16,5,CPP,BDD-build,3.2
test,16,5,CPP,MIP-build,1.4
test,16,5,CPP,MIP-solve,0.6
test,16,5,CPP,VS-build+solve,1.6
test,16,5,CPP,BDD-align-to-vs,1.5
test,16,5,CPP,intersection-build,0.1
test,16,5,CPP,intersection-SP-solve,0.0
test,16,5,CPP,BDD-align-gsifts,13.7
test,16,5,CPP,intersection-gsifts-build,0.1
test,16,5,CPP,intersection-gsifts-SP-solve,0.0
test,17,5,gen_instance,all, 2.0
test,17,5,plain_MIP,build+solve,0.4
test,17,5,CPP,BDD-build,3.0
test,17,5,CPP,MIP-build,1.3
test,17,5,CPP,MIP-solve,0.2
test,17,5,CPP,VS-build+solve,0.4
test,17,5,CPP,BDD-align-to-vs,1.1
test,17,5,CPP,intersection-build,0.1
test,17,5,CPP,intersection-SP-solve,0.0
test,17,5,CPP,BDD-align-gsifts,11.3
test,17,5,CPP,intersection-gsifts-build,0.2
test,17,5,CPP,intersection-gsifts-SP-solve,0.0
test,18,5,gen_instance,all, 2.1
test,18,5,plain_MIP,build+solve,0.5
test,18,5,CPP,BDD-build,3.1
test,18,5,CPP,MIP-build,1.7
test,18,5,CPP,MIP-solve,0.4
test,18,5,CPP,VS-build+solve,0.5
test,18,5,CPP,BDD-align-to-vs,0.9
test,18,5,CPP,intersection-build,0.1
test,18,5,CPP,intersection-SP-solve,0.0
test,18,5,CPP,BDD-align-gsifts,12.6
test,18,5,CPP,intersection-gsifts-build,0.1
test,18,5,CPP,intersection-gsifts-SP-solve,0.0
test,19,5,gen_instance,all, 1.8
test,19,5,plain_MIP,build+solve,0.4
test,19,5,CPP,BDD-build,2.9
test,19,5,CPP,MIP-build,2.0
test,19,5,CPP,MIP-solve,0.4
test,19,5,CPP,VS-build+solve,0.5
test,19,5,CPP,BDD-align-to-vs,1.6
test,19,5,CPP,intersection-build,0.1
test,19,5,CPP,intersection-SP-solve,0.0
test,19,5,CPP,BDD-align-gsifts,12.4
test,19,5,CPP,intersection-gsifts-build,0.1
test,19,5,CPP,intersection-gsifts-SP-solve,0.0
test,20,5,gen_instance,all, 1.8
test,20,5,plain_MIP,build+solve,0.5
test,20,5,CPP,BDD-build,3.1
test,20,5,CPP,MIP-build,1.2
test,20,5,CPP,MIP-solve,0.4
test,20,5,CPP,VS-build+solve,0.5
test,20,5,CPP,BDD-align-to-vs,1.2
test,20,5,CPP,intersection-build,0.1
test,20,5,CPP,intersection-SP-solve,0.0
test,20,5,CPP,BDD-align-gsifts,12.1
test,20,5,CPP,intersection-gsifts-build,0.1
test,20,5,CPP,intersection-gsifts-SP-solve,0.0
test,21,5,gen_instance,all, 1.8
test,21,5,plain_MIP,build+solve,0.5
test,21,5,CPP,BDD-build,2.7
test,21,5,CPP,MIP-build,1.9
test,21,5,CPP,MIP-solve,0.4
test,21,5,CPP,VS-build+solve,1.8
test,21,5,CPP,BDD-align-to-vs,1.3
test,21,5,CPP,intersection-build,0.1
test,21,5,CPP,intersection-SP-solve,0.0
test,21,5,CPP,BDD-align-gsifts,13.2
test,21,5,CPP,intersection-gsifts-build,0.1
test,21,5,CPP,intersection-gsifts-SP-solve,0.0
test,22,5,gen_instance,all, 2.7
test,22,5,plain_MIP,build+solve,0.9
test,22,5,CPP,BDD-build,3.7
test,22,5,CPP,MIP-build,1.5
test,22,5,CPP,MIP-solve,0.4
test,22,5,CPP,VS-build+solve,0.5
test,22,5,CPP,BDD-align-to-vs,1.1
test,22,5,CPP,intersection-build,0.1
test,22,5,CPP,intersection-SP-solve,0.0
test,22,5,CPP,BDD-align-gsifts,11.2
test,22,5,CPP,intersection-gsifts-build,0.1
test,22,5,CPP,intersection-gsifts-SP-solve,0.0
test,23,5,gen_instance,all, 1.9
test,23,5,plain_MIP,build+solve,0.4
test,23,5,CPP,BDD-build,2.9
test,23,5,CPP,MIP-build,1.2
test,23,5,CPP,MIP-solve,0.3
test,23,5,CPP,VS-build+solve,0.5
test,23,5,CPP,BDD-align-to-vs,1.2
test,23,5,CPP,intersection-build,0.1
test,23,5,CPP,intersection-SP-solve,0.0
test,23,5,CPP,BDD-align-gsifts,13.3
test,23,5,CPP,intersection-gsifts-build,0.1
test,23,5,CPP,intersection-gsifts-SP-solve,0.0
test,24,5,gen_instance,all, 1.9
test,24,5,plain_MIP,build+solve,0.4
test,24,5,CPP,BDD-build,3.1
test,24,5,CPP,MIP-build,1.2
