instance,num_type,value,comment
100,simpl_opt_status,0,optimal
100,simpl_bb_time,0.44329309463500977,--none--
100,simpl_obj,231,--none--
100,simpl_qheu_time,0.000514984130859375,--none--
100,simpl_toAB_obj,582,--none--
100,simpl_toR_obj,1186,--none--
100,simpl_heu_gswaps_time,0.09181499481201172,--none--
100,simpl_heu_gswaps_obj,237,--none--
100,simpl_heu_gsifts_time,0.11992406845092773,--none--
100,simpl_heu_gsifts_obj,235,--none--
100,simpl_heu_g2sifts_time,1.7573614120483398,--none--
100,simpl_heu_g2sifts_obj,231,--none--
100,orig_from_simpl_checking_time,0.10729813575744629,--none--
100,orig_from_simpl_order_obj,135,--none--
100,orig_toA_obj,113,--none--
100,orig_toB_obj,128,--none--
100,orig_toRandom_obj,154,--none--
100,orig_minAB_obj,113,--none--
100,orig_gswaps_obj,127,--none--
100,orig_gsifts_obj,125,--none--
100,orig_g2sifts_obj,135,--none--
100,orig_exact_gsifts_obj,104,--none--
100,orig_exact_gsifts_time,0.11434507369995117,--none--
100,simpl_red_opt_status,0,optimal
100,simpl_red_bb_time,0.28795576095581055,--none--
100,simpl_red_obj,231,--none--
100,orig_from_simpl_red_checking_time,0.028261184692382812,--none--
100,orig_from_simpl_red_order_obj,135,--none--
10,simpl_opt_status,0,optimal
10,simpl_bb_time,0.17720508575439453,--none--
10,simpl_obj,178,--none--
10,simpl_qheu_time,0.0004124641418457031,--none--
10,simpl_toAB_obj,217,--none--
10,simpl_toR_obj,726,--none--
10,simpl_heu_gswaps_time,0.05035400390625,--none--
10,simpl_heu_gswaps_obj,183,--none--
10,simpl_heu_gsifts_time,0.15634655952453613,--none--
10,simpl_heu_gsifts_obj,178,--none--
10,simpl_heu_g2sifts_time,1.3044137954711914,--none--
10,simpl_heu_g2sifts_obj,178,--none--
10,orig_from_simpl_checking_time,0.08945512771606445,--none--
10,orig_from_simpl_order_obj,102,--none--
10,orig_toA_obj,175,--none--
10,orig_toB_obj,108,--none--
10,orig_toRandom_obj,177,--none--
10,orig_minAB_obj,108,--none--
