exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, t_novsA, tTDD, size_int_VS, sim_C_VS, size_int_toC, sim_C_toC
100, 10, 10, 0.45, 3, 3, 1, -88.25, -70.55, 0.17, 7.30, 4389, 0.78, 8677, 1.00
101, 10, 10, 0.45, 3, 3, 1, -92.88, -85.23, 0.22, 5.55, 2928, 0.79, 15651, 1.00
102, 10, 10, 0.45, 3, 3, 1, -72.69, -69.16, 0.24, 5.29, 15443, 0.76, 15351, 1.00
103, 10, 10, 0.45, 3, 3, 1, -102.72, -93.81, 0.25, 6.37, 14943, 0.76, 14943, 1.00
104, 10, 10, 0.45, 3, 3, 1, -106.60, -102.33, 0.07, 4.97, 6063, 0.75, 4719, 1.00
105, 10, 10, 0.45, 3, 3, 1, -102.29, -83.63, 0.05, 6.51, 5204, 0.88, 4003, 1.00
106, 10, 10, 0.45, 3, 3, 1, -106.24, -86.69, 0.05, 4.44, 7309, 0.87, 4536, 1.00
107, 10, 10, 0.45, 3, 3, 1, -114.95, -100.31, 0.37, 8.41, 14109, 0.68, 31124, 1.00
108, 10, 10, 0.45, 3, 3, 1, -90.70, -84.36, 0.13, 7.15, 17321, 0.71, 16824, 1.00
109, 10, 10, 0.45, 3, 3, 1, -114.53, -109.38, 0.10, 5.19, 11059, 0.72, 12124, 1.00
110, 10, 10, 0.45, 3, 3, 1, -131.47, -128.06, 0.45, 7.26, 31021, 0.93, 31021, 1.00
111, 10, 10, 0.45, 3, 3, 1, -81.73, -73.11, 0.10, 5.64, 9701, 0.80, 8689, 1.00
112, 10, 10, 0.45, 3, 3, 1, -88.87, -79.17, 0.08, 4.45, 8479, 0.89, 8479, 1.00
113, 10, 10, 0.45, 3, 3, 1, -82.89, -80.47, 0.04, 4.46, 4442, 0.64, 3429, 1.00
114, 10, 10, 0.45, 3, 3, 1, -106.73, -104.78, 0.22, 7.80, 21191, 0.76, 22297, 1.00
115, 10, 10, 0.45, 3, 3, 1, -109.75, -104.69, 0.30, 8.36, 7462, 0.71, 18224, 1.00
116, 10, 10, 0.45, 3, 3, 1, -134.25, -131.81, 0.06, 4.30, 3396, 0.76, 4549, 1.00
117, 10, 10, 0.45, 3, 3, 2, -113.89, -107.24, 0.09, 7.63, 9643, 0.80, 5670, 1.00
118, 10, 10, 0.45, 3, 3, 1, -100.49, -94.14, 0.09, 5.51, 2267, 0.74, 10369, 1.00
119, 10, 10, 0.45, 3, 3, 1, -109.16, -94.05, 0.21, 7.10, 9918, 0.79, 12650, 1.00
120, 10, 10, 0.45, 3, 3, 1, -93.79, -86.11, 0.27, 6.91, 16893, 0.75, 16893, 1.00
121, 10, 10, 0.45, 3, 3, 1, -121.07, -111.43, 0.15, 6.83, 9819, 0.80, 5751, 1.00
122, 10, 10, 0.45, 3, 3, 1, -112.25, -98.47, 0.09, 4.84, 7396, 0.78, 9042, 1.00
123, 10, 10, 0.45, 3, 3, 1, -82.87, -72.36, 0.06, 6.48, 1289, 0.66, 5094, 1.00
124, 10, 10, 0.45, 3, 3, 1, -109.08, -102.01, 0.08, 6.01, 5350, 0.55, 8175, 1.00
125, 10, 10, 0.45, 3, 3, 1, -96.03, -89.28, 0.24, 6.48, 16889, 0.80, 12308, 1.00
126, 10, 10, 0.45, 3, 3, 1, -127.58, -118.83, 0.13, 6.57, 8781, 0.86, 11173, 1.00
127, 10, 10, 0.45, 3, 3, 1, -124.04, -106.18, 0.09, 5.51, 7884, 0.84, 7752, 1.00
128, 10, 10, 0.45, 3, 3, 1, -128.21, -117.03, 0.27, 11.13, 44210, 0.70, 29488, 1.00
129, 10, 10, 0.45, 3, 3, 1, -86.92, -78.26, 0.08, 6.64, 4881, 0.82, 5943, 1.00
130, 10, 10, 0.45, 3, 3, 1, -108.14, -89.12, 0.12, 5.21, 3391, 0.71, 4541, 1.00
131, 10, 10, 0.45, 3, 3, 1, -129.39, -124.78, 0.10, 5.29, 5371, 0.77, 6484, 1.00
132, 10, 10, 0.45, 3, 3, 1, -115.65, -107.67, 0.36, 10.78, 21106, 0.73, 25093, 1.00
133, 10, 10, 0.45, 3, 3, 1, -95.80, -93.83, 0.16, 5.36, 11303, 0.88, 13963, 1.00
134, 10, 10, 0.45, 3, 3, 1, -118.85, -107.60, 0.07, 4.70, 7389, 0.75, 6765, 1.00
135, 10, 10, 0.45, 3, 3, 1, -140.01, -133.10, 0.10, 4.68, 1657, 0.83, 8075, 1.00
136, 10, 10, 0.45, 3, 3, 1, -108.49, -104.54, 0.09, 4.88, 7631, 0.78, 8795, 1.00
137, 10, 10, 0.45, 3, 3, 1, -79.07, -70.10, 0.10, 4.11, 5898, 0.83, 7708, 1.00
138, 10, 10, 0.45, 3, 3, 1, -111.89, -105.75, 0.55, 10.69, 5709, 0.67, 35132, 1.00
139, 10, 10, 0.45, 3, 3, 1, -118.68, -104.55, 0.09, 5.21, 10195, 0.84, 9457, 1.00
140, 10, 10, 0.45, 3, 3, 1, -89.14, -87.50, 0.24, 7.98, 18604, 0.75, 10037, 1.00
141, 10, 10, 0.45, 3, 3, 1, -103.69, -94.43, 0.13, 4.93, 11096, 0.90, 11184, 1.00
142, 10, 10, 0.45, 3, 3, 1, -119.41, -113.14, 0.21, 8.69, 8606, 0.76, 11145, 1.00
