instance,num_type,step,LB,UB,comment
1551,steplog,10,1306,2537,--none--
1551,steplog,20,1306,2432,--none--
1551,steplog,30,1306,2430,--none--
1551,steplog,40,1306,2424,--none--
1551,steplog,50,1306,2424,--none--
1551,steplog,60,1306,2424,--none--
1551,steplog,70,1306,2424,--none--
1551,steplog,80,1306,2424,--none--
1551,steplog,90,1306,2424,--none--
1551,steplog,100,1306,2424,--none--
1551,steplog,110,1306,2424,--none--
1551,steplog,120,1747,2157,--none--
1551,steplog,130,1747,2157,--none--
1551,steplog,140,1747,2157,--none--
1551,steplog,150,1747,2082,--none--
1551,steplog,160,1747,2082,--none--
1551,steplog,170,1747,2074,--none--
1551,steplog,180,1747,2068,--none--
1551,steplog,190,1747,2068,--none--
1551,steplog,200,1747,2068,--none--
1551,steplog,210,1747,2066,--none--
1551,steplog,220,1747,2060,--none--
1551,steplog,230,1747,2060,--none--
1551,steplog,240,1747,2060,--none--
1551,steplog,250,1747,2060,--none--
1551,steplog,260,1747,2050,--none--
1551,steplog,270,1747,2046,--none--
1551,steplog,280,1747,2044,--none--
1551,steplog,290,1747,2044,--none--
1551,steplog,300,1747,2044,--none--
1551,steplog,310,1747,2044,--none--
1551,steplog,320,1747,2044,--none--
1551,steplog,330,1747,2044,--none--
1551,steplog,340,1906,2044,--none--
1551,steplog,350,1906,2044,--none--
1551,steplog,360,1906,2042,--none--
1551,steplog,370,1906,2036,--none--
1551,steplog,380,1906,2036,--none--
1551,steplog,390,1906,2034,--none--
1551,steplog,400,1906,2028,--none--
1551,steplog,410,1906,2028,--none--
1551,steplog,420,1906,2028,--none--
1551,steplog,430,1906,2028,--none--
1551,steplog,440,1962,2026,--none--
1551,steplog,450,1962,2014,--none--
1551,steplog,460,1962,2012,--none--
1551,steplog,470,1984,2012,--none--
1551,steplog,480,1984,2012,--none--
1551,steplog,490,1994,2012,--none--
1551,steplog,500,1999,2012,--none--
1551,steplog,510,2010,2012,--none--
1551,steplog,516,2012,2012,status:optimal
1551,timelog,516,1.4538352489471436,0,--none--
1552,steplog,10,842,4969,--none--
1552,steplog,20,842,4969,--none--
1552,steplog,30,842,4969,--none--
1552,steplog,40,842,4945,--none--
1552,steplog,50,842,4945,--none--
1552,steplog,60,842,4881,--none--
1552,steplog,70,842,4881,--none--
1552,steplog,80,842,4881,--none--
1552,steplog,90,842,4857,--none--
1552,steplog,100,842,4857,--none--
1552,steplog,110,1383,3940,--none--
1552,steplog,120,1383,3425,--none--
1552,steplog,130,1383,3425,--none--
