instance,num_type,step,LB,UB,comment
71,steplog,10,108,257,--none--
71,steplog,20,155,229,--none--
71,steplog,30,184,206,--none--
71,steplog,40,204,204,--none--
71,steplog,41,204,204,status:optimal
71,timelog,41,0.30160069465637207,0,--none--
72,steplog,10,105,292,--none--
72,steplog,20,105,290,--none--
72,steplog,30,155,236,--none--
72,steplog,40,209,224,--none--
72,steplog,50,222,222,--none--
72,steplog,51,222,222,status:optimal
72,timelog,51,0.2594609260559082,0,--none--
73,steplog,10,116,389,--none--
73,steplog,20,116,386,--none--
73,steplog,30,211,286,--none--
73,steplog,40,253,286,--none--
73,steplog,50,267,283,--none--
73,steplog,60,278,280,--none--
73,steplog,65,279,279,status:optimal
73,timelog,65,0.3921012878417969,0,--none--
74,steplog,10,125,172,--none--
74,steplog,20,141,143,--none--
74,steplog,24,143,143,status:optimal
74,timelog,24,0.10666751861572266,0,--none--
75,steplog,10,69,156,--none--
75,steplog,20,87,156,--none--
75,steplog,30,117,133,--none--
75,steplog,40,129,131,--none--
75,steplog,44,131,131,status:optimal
75,timelog,44,0.21373867988586426,0,--none--
76,steplog,10,252,256,--none--
76,steplog,15,255,255,status:optimal
76,timelog,15,0.08691668510437012,0,--none--
