N,instance,num_type,value,comment
5,101,orig_gsifts1p_time,0.004813671112060547,--none--
5,101,orig_gsifts1p_obj,20,--none--
9,1020,simpl_opt_status,0,optimal
9,1020,orig_simpl_time,0.024053335189819336,--none--
9,1020,orig_simpl_obj,82,--none--
9,1020,orig_gsifts1p_time,0.02307605743408203,--none--
9,1020,orig_gsifts1p_obj,63,--none--
9,1021,simpl_opt_status,0,optimal
9,1021,orig_simpl_time,0.025409221649169922,--none--
9,1021,orig_simpl_obj,120,--none--
9,1021,orig_gsifts1p_time,0.035419464111328125,--none--
9,1021,orig_gsifts1p_obj,110,--none--
9,1022,simpl_opt_status,0,optimal
9,1022,orig_simpl_time,0.026480913162231445,--none--
9,1022,orig_simpl_obj,112,--none--
9,1022,orig_gsifts1p_time,0.0362398624420166,--none--
9,1022,orig_gsifts1p_obj,112,--none--
9,1023,simpl_opt_status,0,optimal
9,1023,orig_simpl_time,0.019775867462158203,--none--
9,1023,orig_simpl_obj,84,--none--
9,1023,orig_gsifts1p_time,0.023526430130004883,--none--
9,1023,orig_gsifts1p_obj,64,--none--
9,1024,simpl_opt_status,0,optimal
9,1024,orig_simpl_time,0.01916337013244629,--none--
9,1024,orig_simpl_obj,108,--none--
9,1024,orig_gsifts1p_time,0.03837299346923828,--none--
9,1024,orig_gsifts1p_obj,112,--none--
9,1025,simpl_opt_status,0,optimal
9,1025,orig_simpl_time,0.022366762161254883,--none--
9,1025,orig_simpl_obj,165,--none--
9,1025,orig_gsifts1p_time,0.04473376274108887,--none--
9,1025,orig_gsifts1p_obj,147,--none--
9,1026,simpl_opt_status,0,optimal
9,1026,orig_simpl_time,0.025492191314697266,--none--
9,1026,orig_simpl_obj,106,--none--
9,1026,orig_gsifts1p_time,0.034638404846191406,--none--
9,1026,orig_gsifts1p_obj,101,--none--
9,1027,simpl_opt_status,0,optimal
9,1027,orig_simpl_time,0.02310347557067871,--none--
9,1027,orig_simpl_obj,86,--none--
9,1027,orig_gsifts1p_time,0.02740645408630371,--none--
9,1027,orig_gsifts1p_obj,79,--none--
9,1028,simpl_opt_status,0,optimal
9,1028,orig_simpl_time,0.02479410171508789,--none--
9,1028,orig_simpl_obj,123,--none--
9,1028,orig_gsifts1p_time,0.03393101692199707,--none--
9,1028,orig_gsifts1p_obj,96,--none--
9,1029,simpl_opt_status,0,optimal
9,1029,orig_simpl_time,0.015877962112426758,--none--
9,1029,orig_simpl_obj,70,--none--
9,1029,orig_gsifts1p_time,0.02752828598022461,--none--
9,1029,orig_gsifts1p_obj,67,--none--
5,102,simpl_opt_status,0,optimal
5,102,orig_simpl_time,0.005217552185058594,--none--
5,102,orig_simpl_obj,8,--none--
5,102,orig_gsifts1p_time,0.002813577651977539,--none--
5,102,orig_gsifts1p_obj,8,--none--
9,1030,simpl_opt_status,0,optimal
9,1030,orig_simpl_time,0.022081375122070312,--none--
9,1030,orig_simpl_obj,98,--none--
9,1030,orig_gsifts1p_time,0.02644038200378418,--none--
9,1030,orig_gsifts1p_obj,84,--none--
9,1031,simpl_opt_status,0,optimal
9,1031,orig_simpl_time,0.014086723327636719,--none--
9,1031,orig_simpl_obj,90,--none--
9,1031,orig_gsifts1p_time,0.025591135025024414,--none--
9,1031,orig_gsifts1p_obj,71,--none--
9,1032,simpl_opt_status,0,optimal
9,1032,orig_simpl_time,0.0338134765625,--none--
9,1032,orig_simpl_obj,57,--none--
9,1032,orig_gsifts1p_time,0.016909122467041016,--none--
9,1032,orig_gsifts1p_obj,44,--none--
9,1033,simpl_opt_status,0,optimal
9,1033,orig_simpl_time,0.015244245529174805,--none--
9,1033,orig_simpl_obj,63,--none--
9,1033,orig_gsifts1p_time,0.01869678497314453,--none--
9,1033,orig_gsifts1p_obj,54,--none--
9,1034,simpl_opt_status,0,optimal
9,1034,orig_simpl_time,0.0288240909576416,--none--
9,1034,orig_simpl_obj,121,--none--
9,1034,orig_gsifts1p_time,0.039792776107788086,--none--
9,1034,orig_gsifts1p_obj,111,--none--
9,1035,simpl_opt_status,0,optimal
9,1035,orig_simpl_time,0.023313283920288086,--none--
9,1035,orig_simpl_obj,144,--none--
9,1035,orig_gsifts1p_time,0.04227161407470703,--none--
9,1035,orig_gsifts1p_obj,136,--none--
9,1036,simpl_opt_status,0,optimal
9,1036,orig_simpl_time,0.019120216369628906,--none--
9,1036,orig_simpl_obj,75,--none--
9,1036,orig_gsifts1p_time,0.021299123764038086,--none--
9,1036,orig_gsifts1p_obj,56,--none--
9,1037,simpl_opt_status,0,optimal
9,1037,orig_simpl_time,0.02477121353149414,--none--
9,1037,orig_simpl_obj,89,--none--
9,1037,orig_gsifts1p_time,0.030086517333984375,--none--
9,1037,orig_gsifts1p_obj,72,--none--
9,1038,simpl_opt_status,0,optimal
9,1038,orig_simpl_time,0.02210211753845215,--none--
9,1038,orig_simpl_obj,101,--none--
9,1038,orig_gsifts1p_time,0.02860283851623535,--none--
9,1038,orig_gsifts1p_obj,81,--none--
9,1039,simpl_opt_status,0,optimal
9,1039,orig_simpl_time,0.024392127990722656,--none--
9,1039,orig_simpl_obj,143,--none--
9,1039,orig_gsifts1p_time,0.04089212417602539,--none--
9,1039,orig_gsifts1p_obj,134,--none--
