run,k,n,method,step,time
test,10,10,CPP,MIP-build,6.1
test,10,10,CPP,MIP-solve,1.5
test,10,10,CPP,VS-build+solve,7.9
test,10,10,CPP,BDD-align-to-vs,15.2
test,10,10,CPP,intersection-build,0.7
test,10,10,CPP,intersection-SP-solve,0.1
test,10,10,CPP,BDD-align-gsifts,229.1
test,10,10,CPP,intersection-gsifts-build,0.6
test,10,10,CPP,intersection-gsifts-SP-solve,0.1
test,11,10,gen_instance,all, 7.1
test,11,10,plain_MIP,build+solve,0.9
test,11,10,CPP,BDD-build,16.0
test,11,10,CPP,MIP-build,4.1
test,11,10,CPP,MIP-solve,1.2
test,11,10,CPP,VS-build+solve,13.6
test,11,10,CPP,BDD-align-to-vs,17.4
test,11,10,CPP,intersection-build,0.4
test,11,10,CPP,intersection-SP-solve,0.1
test,11,10,CPP,BDD-align-gsifts,156.9
test,11,10,CPP,intersection-gsifts-build,0.4
test,11,10,CPP,intersection-gsifts-SP-solve,0.1
test,12,10,gen_instance,all, 6.8
test,12,10,plain_MIP,build+solve,0.8
test,12,10,CPP,BDD-build,16.3
test,12,10,CPP,MIP-build,4.4
test,12,10,CPP,MIP-solve,1.1
test,12,10,CPP,VS-build+solve,6.4
test,12,10,CPP,BDD-align-to-vs,6.4
test,12,10,CPP,intersection-build,0.5
test,12,10,CPP,intersection-SP-solve,0.1
test,12,10,CPP,BDD-align-gsifts,152.2
test,12,10,CPP,intersection-gsifts-build,0.5
test,12,10,CPP,intersection-gsifts-SP-solve,0.1
test,13,10,gen_instance,all, 7.4
test,13,10,plain_MIP,build+solve,1.3
test,13,10,CPP,BDD-build,11.3
test,13,10,CPP,MIP-build,4.2
test,13,10,CPP,MIP-solve,1.1
test,13,10,CPP,VS-build+solve,19.0
test,13,10,CPP,BDD-align-to-vs,8.2
test,13,10,CPP,intersection-build,0.3
test,13,10,CPP,intersection-SP-solve,0.1
test,13,10,CPP,BDD-align-gsifts,137.7
test,13,10,CPP,intersection-gsifts-build,0.5
test,13,10,CPP,intersection-gsifts-SP-solve,0.1
test,14,10,gen_instance,all, 6.9
test,14,10,plain_MIP,build+solve,1.1
test,14,10,CPP,BDD-build,16.5
test,14,10,CPP,MIP-build,4.4
test,14,10,CPP,MIP-solve,1.3
test,14,10,CPP,VS-build+solve,12.5
test,14,10,CPP,BDD-align-to-vs,14.9
test,14,10,CPP,intersection-build,0.5
test,14,10,CPP,intersection-SP-solve,0.1
test,14,10,CPP,BDD-align-gsifts,207.8
test,14,10,CPP,intersection-gsifts-build,0.5
test,14,10,CPP,intersection-gsifts-SP-solve,0.1
test,15,10,gen_instance,all, 7.4
test,15,10,plain_MIP,build+solve,0.9
test,15,10,CPP,BDD-build,14.5
test,15,10,CPP,MIP-build,3.9
test,15,10,CPP,MIP-solve,1.2
test,15,10,CPP,VS-build+solve,12.8
test,15,10,CPP,BDD-align-to-vs,10.1
test,15,10,CPP,intersection-build,0.3
test,15,10,CPP,intersection-SP-solve,0.1
test,15,10,CPP,BDD-align-gsifts,126.6
test,15,10,CPP,intersection-gsifts-build,0.3
test,15,10,CPP,intersection-gsifts-SP-solve,0.1
test,16,10,gen_instance,all, 7.2
test,16,10,plain_MIP,build+solve,0.9
test,16,10,CPP,BDD-build,13.4
test,16,10,CPP,MIP-build,4.5
test,16,10,CPP,MIP-solve,1.2
test,16,10,CPP,VS-build+solve,14.2
test,16,10,CPP,BDD-align-to-vs,14.6
test,16,10,CPP,intersection-build,0.6
test,16,10,CPP,intersection-SP-solve,0.2
test,16,10,CPP,BDD-align-gsifts,178.4
test,16,10,CPP,intersection-gsifts-build,0.4
test,16,10,CPP,intersection-gsifts-SP-solve,0.1
test,17,10,gen_instance,all, 8.5
test,17,10,plain_MIP,build+solve,1.8
test,17,10,CPP,BDD-build,21.9
test,17,10,CPP,MIP-build,5.0
test,17,10,CPP,MIP-solve,1.6
test,17,10,CPP,VS-build+solve,10.0
test,17,10,CPP,BDD-align-to-vs,11.4
test,17,10,CPP,intersection-build,0.5
test,17,10,CPP,intersection-SP-solve,0.1
test,17,10,CPP,BDD-align-gsifts,221.9
test,17,10,CPP,intersection-gsifts-build,0.5
test,17,10,CPP,intersection-gsifts-SP-solve,0.1
test,18,10,gen_instance,all, 7.1
test,18,10,plain_MIP,build+solve,1.3
test,18,10,CPP,BDD-build,16.8
test,18,10,CPP,MIP-build,4.1
test,18,10,CPP,MIP-solve,1.2
test,18,10,CPP,VS-build+solve,5.0
test,18,10,CPP,BDD-align-to-vs,6.3
test,18,10,CPP,intersection-build,0.9
test,18,10,CPP,intersection-SP-solve,0.1
test,18,10,CPP,BDD-align-gsifts,132.7
test,18,10,CPP,intersection-gsifts-build,0.5
test,18,10,CPP,intersection-gsifts-SP-solve,0.1
test,19,10,gen_instance,all, 7.2
test,19,10,plain_MIP,build+solve,1.0
test,19,10,CPP,BDD-build,17.5
test,19,10,CPP,MIP-build,4.1
test,19,10,CPP,MIP-solve,1.2
test,19,10,CPP,VS-build+solve,16.5
test,19,10,CPP,BDD-align-to-vs,14.5
test,19,10,CPP,intersection-build,0.5
test,19,10,CPP,intersection-SP-solve,0.1
test,19,10,CPP,BDD-align-gsifts,203.4
test,19,10,CPP,intersection-gsifts-build,0.3
test,19,10,CPP,intersection-gsifts-SP-solve,0.1
test,20,10,gen_instance,all, 7.1
test,20,10,plain_MIP,build+solve,0.8
test,20,10,CPP,BDD-build,18.0
test,20,10,CPP,MIP-build,4.7
test,20,10,CPP,MIP-solve,1.3
test,20,10,CPP,VS-build+solve,7.9
test,20,10,CPP,BDD-align-to-vs,10.9
test,20,10,CPP,intersection-build,0.6
test,20,10,CPP,intersection-SP-solve,0.2
test,20,10,CPP,BDD-align-gsifts,173.1
test,20,10,CPP,intersection-gsifts-build,0.5
test,20,10,CPP,intersection-gsifts-SP-solve,0.1
test,21,10,gen_instance,all, 7.4
test,21,10,plain_MIP,build+solve,0.9
test,21,10,CPP,BDD-build,11.1
test,21,10,CPP,MIP-build,3.4
test,21,10,CPP,MIP-solve,0.9
test,21,10,CPP,VS-build+solve,22.7
test,21,10,CPP,BDD-align-to-vs,7.9
test,21,10,CPP,intersection-build,0.3
test,21,10,CPP,intersection-SP-solve,0.1
test,21,10,CPP,BDD-align-gsifts,116.3
test,21,10,CPP,intersection-gsifts-build,0.2
test,21,10,CPP,intersection-gsifts-SP-solve,0.1
test,22,10,gen_instance,all, 8.0
test,22,10,plain_MIP,build+solve,2.0
test,22,10,CPP,BDD-build,28.5
test,22,10,CPP,MIP-build,5.8
test,22,10,CPP,MIP-solve,1.8
test,22,10,CPP,VS-build+solve,10.8
test,22,10,CPP,BDD-align-to-vs,12.5
test,22,10,CPP,intersection-build,1.6
test,22,10,CPP,intersection-SP-solve,0.2
test,22,10,CPP,BDD-align-gsifts,243.7
test,22,10,CPP,intersection-gsifts-build,0.5
test,22,10,CPP,intersection-gsifts-SP-solve,0.2
test,23,10,gen_instance,all, 6.9
test,23,10,plain_MIP,build+solve,1.1
test,23,10,CPP,BDD-build,15.3
test,23,10,CPP,MIP-build,4.3
test,23,10,CPP,MIP-solve,1.3
test,23,10,CPP,VS-build+solve,10.0
test,23,10,CPP,BDD-align-to-vs,8.2
test,23,10,CPP,intersection-build,0.8
test,23,10,CPP,intersection-SP-solve,0.2
test,23,10,CPP,BDD-align-gsifts,162.4
test,23,10,CPP,intersection-gsifts-build,0.8
test,23,10,CPP,intersection-gsifts-SP-solve,0.2
test,24,10,gen_instance,all, 7.4
test,24,10,plain_MIP,build+solve,1.3
test,24,10,CPP,BDD-build,19.4
test,24,10,CPP,MIP-build,5.1
test,24,10,CPP,MIP-solve,2.1
test,24,10,CPP,VS-build+solve,2.7
test,24,10,CPP,BDD-align-to-vs,9.8
test,24,10,CPP,intersection-build,0.8
test,24,10,CPP,intersection-SP-solve,0.2
test,24,10,CPP,BDD-align-gsifts,198.7
test,24,10,CPP,intersection-gsifts-build,1.3
test,24,10,CPP,intersection-gsifts-SP-solve,0.2
test,25,10,gen_instance,all, 7.5
test,25,10,plain_MIP,build+solve,1.0
test,25,10,CPP,BDD-build,12.7
test,25,10,CPP,MIP-build,3.6
test,25,10,CPP,MIP-solve,1.1
test,25,10,CPP,VS-build+solve,17.3
test,25,10,CPP,BDD-align-to-vs,6.5
test,25,10,CPP,intersection-build,0.3
test,25,10,CPP,intersection-SP-solve,0.1
test,25,10,CPP,BDD-align-gsifts,128.0
test,25,10,CPP,intersection-gsifts-build,0.2
test,25,10,CPP,intersection-gsifts-SP-solve,0.1
test,26,10,gen_instance,all, 6.8
test,26,10,plain_MIP,build+solve,1.1
test,26,10,CPP,BDD-build,20.3
test,26,10,CPP,MIP-build,5.6
test,26,10,CPP,MIP-solve,1.7
test,26,10,CPP,VS-build+solve,8.6
test,26,10,CPP,BDD-align-to-vs,11.3
test,26,10,CPP,intersection-build,0.7
test,26,10,CPP,intersection-SP-solve,0.1
test,26,10,CPP,BDD-align-gsifts,219.4
test,26,10,CPP,intersection-gsifts-build,0.6
test,26,10,CPP,intersection-gsifts-SP-solve,0.1
test,27,10,gen_instance,all, 7.0
test,27,10,plain_MIP,build+solve,0.9
test,27,10,CPP,BDD-build,16.1
test,27,10,CPP,MIP-build,4.4
test,27,10,CPP,MIP-solve,1.2
test,27,10,CPP,VS-build+solve,11.5
test,27,10,CPP,BDD-align-to-vs,12.5
test,27,10,CPP,intersection-build,0.5
test,27,10,CPP,intersection-SP-solve,0.1
test,27,10,CPP,BDD-align-gsifts,163.8
test,27,10,CPP,intersection-gsifts-build,0.4
test,27,10,CPP,intersection-gsifts-SP-solve,0.1
test,28,10,gen_instance,all, 7.9
test,28,10,plain_MIP,build+solve,1.3
test,28,10,CPP,BDD-build,17.8
test,28,10,CPP,MIP-build,4.2
test,28,10,CPP,MIP-solve,1.2
test,28,10,CPP,VS-build+solve,20.1
test,28,10,CPP,BDD-align-to-vs,10.2
test,28,10,CPP,intersection-build,0.4
test,28,10,CPP,intersection-SP-solve,0.2
test,28,10,CPP,BDD-align-gsifts,170.0
test,28,10,CPP,intersection-gsifts-build,0.4
test,28,10,CPP,intersection-gsifts-SP-solve,0.1
test,29,10,gen_instance,all, 7.8
test,29,10,plain_MIP,build+solve,1.1
test,29,10,CPP,BDD-build,16.8
test,29,10,CPP,MIP-build,4.7
test,29,10,CPP,MIP-solve,1.6
test,29,10,CPP,VS-build+solve,21.4
test,29,10,CPP,BDD-align-to-vs,9.7
test,29,10,CPP,intersection-build,0.4
test,29,10,CPP,intersection-SP-solve,0.1
test,29,10,CPP,BDD-align-gsifts,196.1
test,29,10,CPP,intersection-gsifts-build,0.4
test,29,10,CPP,intersection-gsifts-SP-solve,0.1
test,30,10,gen_instance,all, 7.0
test,30,10,plain_MIP,build+solve,1.0
test,30,10,CPP,BDD-build,16.7
test,30,10,CPP,MIP-build,4.6
test,30,10,CPP,MIP-solve,1.4
test,30,10,CPP,VS-build+solve,15.1
test,30,10,CPP,BDD-align-to-vs,13.8
test,30,10,CPP,intersection-build,0.5
test,30,10,CPP,intersection-SP-solve,0.1
test,30,10,CPP,BDD-align-gsifts,178.1
test,30,10,CPP,intersection-gsifts-build,0.4
test,30,10,CPP,intersection-gsifts-SP-solve,0.1
test,31,10,gen_instance,all, 6.4
test,31,10,plain_MIP,build+solve,0.8
test,31,10,CPP,BDD-build,17.7
test,31,10,CPP,MIP-build,5.0
