6-0,orig_simpl_nat_obj,49,--none--
6-0,orig_minAB_nat_obj,49,--none--
6-0,orig_5random_nat_obj,51,--none--
6-0,orig_gsifts1p_nat_obj,45,--none--
6-0,orig_simpl_rnd_obj,54,--none--
6-0,orig_minAB_rnd_obj,50,--none--
6-0,orig_5random_rnd_obj,47,--none--
6-0,orig_gsifts1p_rnd_obj,44,--none--
6-0,orig_simpl_ctl_obj,8279,--none--
6-0,orig_minAB_ctl_obj,8882,--none--
6-0,orig_5random_ctl_obj,13508,--none--
6-0,orig_gsifts1p_ctl_obj,8279,--none--
6-1,orig_simpl_nat_obj,157,--none--
6-1,orig_minAB_nat_obj,130,--none--
6-1,orig_5random_nat_obj,189,--none--
6-1,orig_gsifts1p_nat_obj,126,--none--
6-1,orig_simpl_rnd_obj,330,--none--
6-1,orig_minAB_rnd_obj,284,--none--
6-1,orig_5random_rnd_obj,212,--none--
6-1,orig_gsifts1p_rnd_obj,117,--none--
6-1,orig_simpl_ctl_obj,6230,--none--
6-1,orig_minAB_ctl_obj,7994,--none--
6-1,orig_5random_ctl_obj,13625,--none--
6-1,orig_gsifts1p_ctl_obj,6216,--none--
6-2,orig_simpl_nat_obj,40,--none--
6-2,orig_minAB_nat_obj,40,--none--
6-2,orig_5random_nat_obj,39,--none--
6-2,orig_gsifts1p_nat_obj,39,--none--
6-2,orig_simpl_rnd_obj,41,--none--
6-2,orig_minAB_rnd_obj,37,--none--
6-2,orig_5random_rnd_obj,38,--none--
6-2,orig_gsifts1p_rnd_obj,40,--none--
6-2,orig_simpl_ctl_obj,7325,--none--
6-2,orig_minAB_ctl_obj,7252,--none--
6-2,orig_5random_ctl_obj,10219,--none--
6-2,orig_gsifts1p_ctl_obj,3769,--none--
6-3,orig_simpl_nat_obj,405,--none--
6-3,orig_minAB_nat_obj,387,--none--
6-3,orig_5random_nat_obj,440,--none--
6-3,orig_gsifts1p_nat_obj,366,--none--
6-3,orig_simpl_rnd_obj,599,--none--
6-3,orig_minAB_rnd_obj,603,--none--
6-3,orig_5random_rnd_obj,399,--none--
6-3,orig_gsifts1p_rnd_obj,271,--none--
6-3,orig_simpl_ctl_obj,5405,--none--
6-3,orig_minAB_ctl_obj,4734,--none--
6-3,orig_5random_ctl_obj,9831,--none--
6-3,orig_gsifts1p_ctl_obj,3352,--none--
6-4,orig_simpl_nat_obj,348,--none--
6-4,orig_minAB_nat_obj,323,--none--
6-4,orig_5random_nat_obj,375,--none--
6-4,orig_gsifts1p_nat_obj,300,--none--
6-4,orig_simpl_rnd_obj,535,--none--
6-4,orig_minAB_rnd_obj,380,--none--
6-4,orig_5random_rnd_obj,366,--none--
6-4,orig_gsifts1p_rnd_obj,258,--none--
6-4,orig_simpl_ctl_obj,5233,--none--
6-4,orig_minAB_ctl_obj,9093,--none--
6-4,orig_5random_ctl_obj,8127,--none--
6-4,orig_gsifts1p_ctl_obj,2865,--none--
6-5,orig_simpl_nat_obj,177,--none--
6-5,orig_minAB_nat_obj,177,--none--
6-5,orig_5random_nat_obj,235,--none--
6-5,orig_gsifts1p_nat_obj,170,--none--
6-5,orig_simpl_rnd_obj,213,--none--
6-5,orig_minAB_rnd_obj,199,--none--
6-5,orig_5random_rnd_obj,277,--none--
6-5,orig_gsifts1p_rnd_obj,142,--none--
6-5,orig_simpl_ctl_obj,6609,--none--
6-5,orig_minAB_ctl_obj,8085,--none--
6-5,orig_5random_ctl_obj,11472,--none--
6-5,orig_gsifts1p_ctl_obj,6445,--none--
6-6,orig_simpl_nat_obj,256,--none--
6-6,orig_minAB_nat_obj,276,--none--
