2-0,orig_simpl_nat_obj,168,--none--
2-0,orig_minAB_nat_obj,170,--none--
2-0,orig_5random_nat_obj,301,--none--
2-0,orig_gsifts1p_nat_obj,161,--none--
2-0,orig_simpl_rnd_obj,286,--none--
2-0,orig_minAB_rnd_obj,256,--none--
2-0,orig_5random_rnd_obj,242,--none--
2-0,orig_gsifts1p_rnd_obj,173,--none--
2-0,orig_simpl_ctl_obj,6610,--none--
2-0,orig_minAB_ctl_obj,12435,--none--
2-0,orig_5random_ctl_obj,10423,--none--
2-0,orig_gsifts1p_ctl_obj,6493,--none--
2-1,orig_simpl_nat_obj,154,--none--
2-1,orig_minAB_nat_obj,150,--none--
2-1,orig_5random_nat_obj,184,--none--
2-1,orig_gsifts1p_nat_obj,132,--none--
2-1,orig_simpl_rnd_obj,214,--none--
2-1,orig_minAB_rnd_obj,154,--none--
2-1,orig_5random_rnd_obj,194,--none--
2-1,orig_gsifts1p_rnd_obj,143,--none--
2-1,orig_simpl_ctl_obj,4176,--none--
2-1,orig_minAB_ctl_obj,5035,--none--
2-1,orig_5random_ctl_obj,9367,--none--
2-1,orig_gsifts1p_ctl_obj,4128,--none--
2-2,orig_simpl_nat_obj,191,--none--
2-2,orig_minAB_nat_obj,143,--none--
2-2,orig_5random_nat_obj,190,--none--
2-2,orig_gsifts1p_nat_obj,160,--none--
2-2,orig_simpl_rnd_obj,294,--none--
2-2,orig_minAB_rnd_obj,249,--none--
2-2,orig_5random_rnd_obj,241,--none--
2-2,orig_gsifts1p_rnd_obj,175,--none--
2-2,orig_simpl_ctl_obj,5672,--none--
2-2,orig_minAB_ctl_obj,9862,--none--
2-2,orig_5random_ctl_obj,10701,--none--
2-2,orig_gsifts1p_ctl_obj,5671,--none--
2-3,orig_simpl_nat_obj,269,--none--
2-3,orig_minAB_nat_obj,250,--none--
2-3,orig_5random_nat_obj,303,--none--
2-3,orig_gsifts1p_nat_obj,231,--none--
2-3,orig_simpl_rnd_obj,532,--none--
2-3,orig_minAB_rnd_obj,413,--none--
2-3,orig_5random_rnd_obj,385,--none--
2-3,orig_gsifts1p_rnd_obj,226,--none--
2-3,orig_simpl_ctl_obj,6915,--none--
2-3,orig_minAB_ctl_obj,7175,--none--
2-3,orig_5random_ctl_obj,12973,--none--
2-3,orig_gsifts1p_ctl_obj,6917,--none--
2-4,orig_simpl_nat_obj,301,--none--
2-4,orig_minAB_nat_obj,313,--none--
2-4,orig_5random_nat_obj,383,--none--
2-4,orig_gsifts1p_nat_obj,282,--none--
2-4,orig_simpl_rnd_obj,558,--none--
2-4,orig_minAB_rnd_obj,460,--none--
2-4,orig_5random_rnd_obj,445,--none--
2-4,orig_gsifts1p_rnd_obj,298,--none--
2-4,orig_simpl_ctl_obj,9594,--none--
2-4,orig_minAB_ctl_obj,9218,--none--
2-4,orig_5random_ctl_obj,8100,--none--
2-4,orig_gsifts1p_ctl_obj,7238,--none--
2-5,orig_simpl_nat_obj,212,--none--
2-5,orig_minAB_nat_obj,212,--none--
2-5,orig_5random_nat_obj,281,--none--
2-5,orig_gsifts1p_nat_obj,181,--none--
2-5,orig_simpl_rnd_obj,326,--none--
2-5,orig_minAB_rnd_obj,282,--none--
2-5,orig_5random_rnd_obj,310,--none--
2-5,orig_gsifts1p_rnd_obj,179,--none--
2-5,orig_simpl_ctl_obj,3778,--none--
2-5,orig_minAB_ctl_obj,5757,--none--
2-5,orig_5random_ctl_obj,6018,--none--
