k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
501, optimal, 26.7, 10, 40.0, 73.3, 46.7, 0.5
502, optimal, 33.3, 2, 6.7, 53.3, 53.3, 0.5
503, optimal, 73.3, 720, 100.0, 100.0, 0.0, 5.0
504, optimal, 73.3, 10, 33.3, 100.0, 80.0, 0.5
505, optimal, 40.0, 4, 13.3, 73.3, 66.7, 0.5
506, optimal, 60.0, 12, 26.7, 46.7, 26.7, 0.4
507, optimal, 46.7, 720, 100.0, 100.0, 0.0, 4.8
508, optimal, 46.7, 36, 66.7, 86.7, 40.0, 0.6
509, optimal, 40.0, 4, 20.0, 60.0, 53.3, 0.7
510, optimal, 60.0, 24, 40.0, 93.3, 53.3, 0.4
511, optimal, 73.3, 720, 100.0, 100.0, 0.0, 4.1
512, optimal, 53.3, 6, 20.0, 93.3, 80.0, 0.7
513, optimal, 40.0, 2, 6.7, 53.3, 53.3, 0.4
514, optimal, 40.0, 2, 6.7, 60.0, 60.0, 0.5
515, optimal, 73.3, 24, 40.0, 100.0, 60.0, 0.4
516, optimal, 6.7, 4, 13.3, 46.7, 33.3, 0.4
517, optimal, 20.0, 12, 26.7, 86.7, 60.0, 0.4
518, optimal, 53.3, 2, 6.7, 86.7, 86.7, 0.5
519, optimal, 73.3, 10, 33.3, 73.3, 53.3, 0.5
520, optimal, 26.7, 16, 46.7, 93.3, 60.0, 0.5
521, optimal, 40.0, 6, 20.0, 46.7, 33.3, 0.6
522, optimal, 40.0, 24, 53.3, 86.7, 53.3, 0.5
523, optimal, 66.7, 4, 13.3, 86.7, 73.3, 0.5
524, optimal, 33.3, 4, 13.3, 80.0, 73.3, 0.4
525, optimal, 33.3, 24, 40.0, 86.7, 53.3, 0.4
526, optimal, 26.7, 4, 13.3, 46.7, 33.3, 0.4
527, optimal, 53.3, 2, 6.7, 60.0, 60.0, 0.5
528, optimal, 53.3, 3, 13.3, 60.0, 53.3, 0.5
529, optimal, 53.3, 6, 20.0, 100.0, 86.7, 0.5
530, optimal, 73.3, 12, 26.7, 100.0, 80.0, 0.4
531, optimal, 33.3, 8, 26.7, 46.7, 26.7, 0.6
532, optimal, 20.0, 12, 26.7, 66.7, 46.7, 0.4
533, optimal, 53.3, 5, 20.0, 86.7, 73.3, 0.5
534, optimal, 40.0, 6, 20.0, 86.7, 73.3, 0.5
535, optimal, 93.3, 12, 33.3, 93.3, 73.3, 0.6
536, optimal, 66.7, 9, 26.7, 80.0, 60.0, 0.5
537, optimal, 73.3, 12, 26.7, 86.7, 60.0, 0.4
538, optimal, 53.3, 1, 0.0, 86.7, 86.7, 0.6
539, optimal, 80.0, 4, 13.3, 100.0, 86.7, 0.5
540, optimal, 73.3, 48, 46.7, 80.0, 40.0, 0.4
541, optimal, 53.3, 24, 40.0, 73.3, 46.7, 0.4
542, optimal, 26.7, 120, 66.7, 66.7, 0.0, 0.5
543, optimal, 46.7, 2, 6.7, 73.3, 73.3, 0.5
544, optimal, 53.3, 6, 33.3, 93.3, 66.7, 0.6
545, optimal, 66.7, 2, 6.7, 53.3, 53.3, 0.6
546, optimal, 40.0, 4, 13.3, 80.0, 73.3, 0.5
547, optimal, 20.0, 4, 13.3, 40.0, 33.3, 0.4
548, optimal, 20.0, 2, 6.7, 20.0, 20.0, 0.5
549, optimal, 33.3, 2, 6.7, 46.7, 46.7, 0.6
550, optimal, 0.0, 6, 20.0, 86.7, 73.3, 0.6
551, optimal, 53.3, 4, 20.0, 26.7, 13.3, 0.6
552, optimal, 20.0, 20, 60.0, 93.3, 60.0, 0.6
553, optimal, 40.0, 2, 6.7, 53.3, 53.3, 0.5
554, optimal, 26.7, 6, 26.7, 66.7, 46.7, 0.6
555, optimal, 60.0, 2, 6.7, 46.7, 46.7, 0.6
556, optimal, 20.0, 2, 6.7, 66.7, 66.7, 0.6
557, optimal, 53.3, 2, 6.7, 53.3, 53.3, 0.5
558, optimal, 66.7, 2, 6.7, 80.0, 80.0, 0.4
559, optimal, 46.7, 2, 6.7, 46.7, 46.7, 0.5
560, optimal, 26.7, 8, 33.3, 73.3, 40.0, 0.5
561, optimal, 33.3, 24, 40.0, 100.0, 60.0, 0.5
562, optimal, 20.0, 2, 6.7, 53.3, 53.3, 0.5
563, optimal, 40.0, 48, 46.7, 60.0, 13.3, 0.5
564, optimal, 66.7, 12, 26.7, 60.0, 40.0, 0.4
565, optimal, 66.7, 12, 46.7, 86.7, 46.7, 0.5
566, optimal, 26.7, 4, 13.3, 60.0, 46.7, 0.5
567, optimal, 60.0, 2, 6.7, 66.7, 66.7, 0.4
568, optimal, 53.3, 6, 60.0, 60.0, 53.3, 0.6
569, optimal, 60.0, 12, 26.7, 73.3, 53.3, 0.4
570, optimal, 33.3, 2, 6.7, 80.0, 80.0, 0.5
571, optimal, 46.7, 120, 66.7, 100.0, 33.3, 0.5
572, optimal, 53.3, 16, 60.0, 86.7, 60.0, 0.6
573, optimal, 60.0, 2, 6.7, 53.3, 53.3, 0.5
574, optimal, 46.7, 2, 6.7, 53.3, 53.3, 0.5
575, optimal, 60.0, 8, 100.0, 73.3, 20.0, 0.6
576, optimal, 26.7, 20, 80.0, 100.0, 26.7, 0.6
577, optimal, 80.0, 8, 20.0, 86.7, 73.3, 0.5
578, optimal, 26.7, 8, 26.7, 93.3, 73.3, 0.6
579, optimal, 20.0, 8, 26.7, 60.0, 33.3, 0.4
580, optimal, 73.3, 2, 6.7, 93.3, 93.3, 0.5
581, optimal, 40.0, 6, 20.0, 86.7, 73.3, 0.5
582, optimal, 66.7, 4, 13.3, 86.7, 73.3, 0.5
583, optimal, 26.7, 8, 33.3, 73.3, 53.3, 0.5
584, optimal, 60.0, 4, 13.3, 93.3, 86.7, 0.5
585, optimal, 46.7, 8, 26.7, 100.0, 80.0, 0.5
586, optimal, 13.3, 2, 6.7, 40.0, 40.0, 0.5
587, optimal, 66.7, 18, 40.0, 93.3, 60.0, 0.5
588, optimal, 26.7, 8, 40.0, 33.3, 20.0, 0.4
589, optimal, 40.0, 2, 6.7, 80.0, 80.0, 0.6
590, optimal, 60.0, 4, 13.3, 100.0, 93.3, 0.5
591, optimal, 46.7, 2, 6.7, 46.7, 46.7, 0.5
592, optimal, 46.7, 1, 0.0, 53.3, 53.3, 0.5
593, optimal, 33.3, 6, 20.0, 46.7, 26.7, 0.5
594, optimal, 40.0, 52, 73.3, 93.3, 26.7, 0.5
595, optimal, 46.7, 6, 26.7, 86.7, 66.7, 0.5
596, optimal, 40.0, 4, 13.3, 66.7, 60.0, 0.5
597, optimal, 33.3, 2, 6.7, 46.7, 46.7, 0.6
598, optimal, 46.7, 1, 0.0, 53.3, 53.3, 0.6
599, optimal, 66.7, 24, 40.0, 93.3, 60.0, 0.4
600, optimal, 60.0, 10, 33.3, 86.7, 73.3, 0.5
601, optimal, 73.3, 6, 20.0, 80.0, 60.0, 0.4
602, optimal, 33.3, 2, 6.7, 86.7, 86.7, 0.6
603, optimal, 26.7, 120, 66.7, 93.3, 26.7, 0.5
604, optimal, 60.0, 12, 26.7, 93.3, 66.7, 0.4
605, optimal, 40.0, 14, 46.7, 66.7, 46.7, 0.4
606, optimal, 40.0, 3, 13.3, 66.7, 60.0, 0.5
607, optimal, 20.0, 8, 80.0, 60.0, 40.0, 0.5
608, optimal, 60.0, 24, 40.0, 73.3, 40.0, 0.4
609, optimal, 33.3, 2, 6.7, 53.3, 53.3, 0.6
610, optimal, 86.7, 8, 26.7, 100.0, 80.0, 0.5
611, optimal, 60.0, 24, 40.0, 66.7, 40.0, 0.4
612, optimal, 26.7, 48, 46.7, 73.3, 26.7, 0.4
